"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/clipboard/__init__.py","call function: 302:14-302:58","call in function: copy_dev_clipboard@288-303","callee=open","basic block: 302:14-303:26"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/clipboard/__init__.py","call function: 302:14-302:58","call in function: init_dev_clipboard_clipboard@287-310","callee=open","basic block: 302:14-303:26"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/clipboard/__init__.py","call function: 306:14-306:53","call in function: init_dev_clipboard_clipboard@287-310","callee=open","basic block: 306:14-308:22"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/clipboard/__init__.py","call function: 306:14-306:53","call in function: paste_dev_clipboard@305-308","callee=open","basic block: 306:14-308:22"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/clipboard/__init__.py","call function: 541:12-541:43","call in function: determine_clipboard@527-599","callee=os.path.exists","basic block: 541:12-541:43"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/util/_exceptions.py","call function: 45:15-45:42","call in function: find_stack_level@37-63","callee=os.path.dirname","basic block: 38:5-51:9"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/util/_exceptions.py","call function: 46:16-46:45","call in function: find_stack_level@37-63","callee=os.path.join","basic block: 38:5-51:9"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/excel/_base.py","call function: 1165:27-1165:48","call in function: __new__@1150-1182","callee=os.path.splitext","basic block: 1165:27-1165:23"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/excel/_base.py","call function: 1251:19-1251:40","call in function: __init__@1238-1291","callee=os.path.splitext","basic block: 1251:19-1252:37"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/io/excel/_base.py","call function: 1462:61-1462:73","call in function: inspect_excel_format@1414-1471","callee=zipfile.ZipFile.namelist","basic block: 1458:14-1465:47"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/util/_tester.py","call function: 50:25-50:50","call in function: test@15-55","callee=os.path.join","basic block: 48:13-47:11"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/util/_print_versions.py","call function: 145:18-145:53","call in function: show_versions@93-161","callee=open","basic block: 144:13-146:41"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/_version.py","call function: 130:19-130:40","call in function: versions_from_parentdir@120-147","callee=os.path.basename","basic block: 129:9-131:47"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/_version.py","call function: 140:16-140:36","call in function: versions_from_parentdir@120-147","callee=os.path.dirname","basic block: 139:9-140:12"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/_version.py","call function: 159:14-159:52","call in function: git_get_keywords@151-175","callee=open","basic block: 151:22-159:52"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/_version.py","call function: 659:16-659:41","call in function: get_versions@643-692","callee=os.path.realpath","basic block: 659:16-659:41"
"path: /home/sixsquare/codeQL/projects/pandas/pandas/_version.py","call function: 664:20-664:40","call in function: get_versions@643-692","callee=os.path.dirname","basic block: 664:20-664:40"
