"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/private-gpt/tests/conftest.py","call function: 11:12-11:41","call in function: _as_module@10-11","callee=str.replace","basic block: 10:16-11:79"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/ingest/ingest_component.py","call function: 309:9-309:53","call in function: __del__@305-316","callee=logging.debug","basic block: 305:17-316:53"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/ingest/ingest_component.py","call function: 313:9-313:64","call in function: __del__@305-316","callee=logging.debug","basic block: 305:17-316:53"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/embedding/custom/sagemaker.py","call function: 42:13-42:80","call in function: _async_not_implemented_warn_once@40-43","callee=print","basic block: 42:13-43:46"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/embedding/custom/sagemaker.py","call function: 52:18-52:43","call in function: _embed@45-60","callee=json.dumps","basic block: 45:16-60:39"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/llm/custom/sagemaker.py","call function: 215:18-215:43","call in function: complete@200-225","callee=json.dumps","basic block: 208:13-225:9"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/llm/custom/sagemaker.py","call function: 239:22-239:47","call in function: stream_complete@228-262","callee=json.dumps","basic block: 230:20-248:50"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/components/llm/custom/sagemaker.py","call function: 239:22-239:47","call in function: get_stream@229-260","callee=json.dumps","basic block: 230:20-248:50"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 13:9-13:35","call in function: wipe_file@10-13","callee=print","basic block: 12:9-13:35"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 18:9-18:48","call in function: wipe_tree@16-36","callee=print","basic block: 18:9-19:14"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 20:5-20:30","call in function: wipe_tree@16-36","callee=print","basic block: 20:5-24:36"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 31:13-31:44","call in function: wipe_tree@16-36","callee=print","basic block: 31:13-31:44"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 33:13-35:13","call in function: wipe_tree@16-36","callee=print","basic block: 32:9-36:20"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 61:17-61:62","call in function: wipe@55-64","callee=print","basic block: 61:17-61:62"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 74:13-74:56","call in function: stats@66-85","callee=print","basic block: 74:13-74:56"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 75:13-75:76","call in function: stats@66-85","callee=print","basic block: 75:13-75:76"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 76:13-76:27","call in function: stats@66-85","callee=print","basic block: 76:13-76:27"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 81:17-81:80","call in function: stats@66-85","callee=print","basic block: 81:17-81:80"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 83:13-83:19","call in function: stats@66-85","callee=print","basic block: 83:13-83:19"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 128:13-128:53","call in function: wipe@124-130","callee=print","basic block: 128:13-128:53"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 130:13-130:50","call in function: wipe@124-130","callee=print","basic block: 129:9-130:50"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 133:9-133:50","call in function: stats@132-145","callee=print","basic block: 132:15-135:41"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 139:17-139:75","call in function: stats@132-145","callee=print","basic block: 139:17-139:75"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 140:17-140:76","call in function: stats@132-145","callee=print","basic block: 140:17-140:76"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 141:17-141:84","call in function: stats@132-145","callee=print","basic block: 141:17-141:84"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 145:9-145:57","call in function: stats@132-145","callee=print","basic block: 145:9-145:57"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 161:17-161:68","call in function: for_each_store@156-172","callee=print","basic block: 161:17-162:24"
"path: /home/sixsquare/codeQL/projects/private-gpt/scripts/utils.py","call function: 170:17-172:17","call in function: for_each_store@156-172","callee=print","basic block: 170:17-172:17"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/ui/ui.py","call function: 534:29-534:68","call in function: _build_ui_blocks@366-571","callee=print","basic block: 534:29-535:39"
"path: /home/sixsquare/codeQL/projects/private-gpt/private_gpt/ui/ui.py","call function: 534:29-534:68","call in function: get_model_label@503-537","callee=print","basic block: 534:29-535:39"
