"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/pdf/remove_links.py","call function: 49:9-49:32","call in function: read_file@48-51","callee=pathlib.Path.resolve","basic block: 48:15-51:31"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/pdf/remove_links.py","call function: 50:10-50:34","call in function: read_file@48-51","callee=open","basic block: 48:15-51:31"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/pdf/remove_links.py","call function: 55:9-55:32","call in function: write_to_file@54-57","callee=pathlib.Path.resolve","basic block: 54:19-57:24"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/pdf/remove_links.py","call function: 56:10-56:39","call in function: write_to_file@54-57","callee=open","basic block: 54:19-57:24"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/pdf/create_index.py","call function: 46:10-46:41","call in function: read_file@45-47","callee=open","basic block: 45:15-47:31"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/web/update_plots.py","call function: 107:9-107:32","call in function: read_file@106-109","callee=pathlib.Path.resolve","basic block: 106:15-109:31"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/web/update_plots.py","call function: 108:10-108:34","call in function: read_file@106-109","callee=open","basic block: 106:15-109:31"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/web/update_plots.py","call function: 113:9-113:32","call in function: write_to_file@112-115","callee=pathlib.Path.resolve","basic block: 112:19-115:30"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/web/update_plots.py","call function: 114:10-114:39","call in function: write_to_file@112-115","callee=open","basic block: 112:19-115:30"
"path: /home/sixsquare/codeQL/projects/python-cheatsheet/web/update_plots.py","call function: 119:9-119:32","call in function: write_to_png_file@118-120","callee=pathlib.Path.resolve","basic block: 118:23-120:58"
