"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 20:9-20:43","call in function: __get__@18-21","callee=print","basic block: 18:17-21:42"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 45:9-45:30","call in function: get_product_list@44-48","callee=print","basic block: 44:26-46:57"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 47:13-47:26","call in function: get_product_list@44-48","callee=print","basic block: 46:13-47:26"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 48:9-48:17","call in function: get_product_list@44-48","callee=print","basic block: 48:9-48:17"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 53:13-53:41","call in function: get_product_information@50-60","callee=print","basic block: 53:13-58:13"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 54:13-58:13","call in function: get_product_information@50-60","callee=print","basic block: 53:13-58:13"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/3-tier.py","call function: 60:13-60:76","call in function: get_product_information@50-60","callee=print","basic block: 60:13-60:76"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/bridge.py","call function: 13:9-13:56","call in function: draw_circle@12-13","callee=print","basic block: 12:21-13:56"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/bridge.py","call function: 19:9-19:56","call in function: draw_circle@18-19","callee=print","basic block: 18:21-19:56"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/creational/abstract_factory.py","call function: 50:9-50:21","call in function: speak@49-50","callee=print","basic block: 49:15-50:21"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/creational/abstract_factory.py","call function: 58:9-58:21","call in function: speak@57-58","callee=print","basic block: 57:15-58:21"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/creational/abstract_factory.py","call function: 76:9-76:43","call in function: buy_pet@72-77","callee=print","basic block: 72:17-77:18"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chain_of_responsibility.py","call function: 54:13-54:60","call in function: check_range@52-56","callee=print","basic block: 54:13-55:23"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chain_of_responsibility.py","call function: 66:13-66:60","call in function: check_range@64-68","callee=print","basic block: 66:13-67:23"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chain_of_responsibility.py","call function: 77:13-77:60","call in function: check_range@74-79","callee=print","basic block: 77:13-78:23"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chain_of_responsibility.py","call function: 89:9-89:56","call in function: check_range@88-90","callee=print","basic block: 88:21-90:20"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 33:9-33:35","call in function: _static_method_1@32-33","callee=print","basic block: 33:9-33:35"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 37:9-37:35","call in function: _static_method_2@36-37","callee=print","basic block: 37:9-37:35"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 64:9-64:33","call in function: _instance_method_1@63-64","callee=print","basic block: 63:28-64:33"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 67:9-67:33","call in function: _instance_method_2@66-67","callee=print","basic block: 66:28-67:33"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 101:9-101:32","call in function: _class_method_1@100-101","callee=print","basic block: 100:25-101:32"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 105:9-105:32","call in function: _class_method_2@104-105","callee=print","basic block: 104:25-105:32"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 136:9-136:35","call in function: _static_method_1@135-136","callee=print","basic block: 136:9-136:35"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/catalog.py","call function: 140:9-140:35","call in function: _static_method_2@139-140","callee=print","basic block: 140:9-140:35"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chaining_method.py","call function: 9:9-9:46","call in function: do_action@8-10","callee=print","basic block: 8:19-10:21"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chaining_method.py","call function: 18:9-18:27","call in function: amount@17-19","callee=print","basic block: 17:16-19:19"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/chaining_method.py","call function: 22:9-22:26","call in function: stop@21-22","callee=print","basic block: 21:14-22:26"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/composite.py","call function: 59:9-59:38","call in function: render@58-59","callee=print","basic block: 58:16-59:38"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/command.py","call function: 36:9-36:35","call in function: execute@35-37","callee=print","basic block: 35:17-37:43"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/command.py","call function: 41:9-41:38","call in function: undo@39-41","callee=print","basic block: 39:14-41:38"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/command.py","call function: 54:9-54:37","call in function: execute@53-55","callee=print","basic block: 53:17-55:44"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/command.py","call function: 59:9-59:38","call in function: undo@57-59","callee=print","basic block: 57:14-59:38"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/facade.py","call function: 39:9-39:36","call in function: freeze@38-39","callee=print","basic block: 38:16-39:36"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/facade.py","call function: 42:9-42:38","call in function: jump@41-42","callee=print","basic block: 41:14-42:38"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/facade.py","call function: 45:9-45:27","call in function: execute@44-45","callee=print","basic block: 44:17-45:27"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/facade.py","call function: 54:9-54:57","call in function: load@53-54","callee=print","basic block: 53:14-54:57"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/front_controller.py","call function: 15:9-15:45","call in function: show_index_page@14-15","callee=print","basic block: 14:25-15:45"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/front_controller.py","call function: 20:9-20:45","call in function: show_index_page@19-20","callee=print","basic block: 19:25-20:45"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/front_controller.py","call function: 40:13-40:48","call in function: dispatch@28-40","callee=print","basic block: 40:13-40:48"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/front_controller.py","call function: 56:13-56:53","call in function: dispatch_request@49-56","callee=print","basic block: 56:13-56:53"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/mediator.py","call function: 18:9-18:42","call in function: display_message@17-18","callee=print","basic block: 17:25-18:42"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/observer.py","call function: 60:9-60:79","call in function: update@59-60","callee=print","basic block: 59:16-60:79"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/observer.py","call function: 65:9-65:79","call in function: update@64-65","callee=print","basic block: 64:16-65:79"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/proxy.py","call function: 42:9-42:47","call in function: do_the_job@41-42","callee=print","basic block: 41:20-42:47"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/proxy.py","call function: 54:9-54:62","call in function: do_the_job@49-59","callee=print","basic block: 49:20-56:26"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/proxy.py","call function: 59:13-59:62","call in function: do_the_job@49-59","callee=print","basic block: 59:13-59:62"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/behavioral/publish_subscribe.py","call function: 51:9-51:39","call in function: run@50-51","callee=print","basic block: 50:13-51:39"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/mvc.py","call function: 77:9-77:43","call in function: show_item_list@76-80","callee=print","basic block: 76:24-78:29"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/mvc.py","call function: 79:13-79:23","call in function: show_item_list@76-80","callee=print","basic block: 78:13-79:23"
"path: /home/sixsquare/codeQL/projects/python-patterns/patterns/structural/mvc.py","call function: 80:9-80:17","call in function: show_item_list@76-80","callee=print","basic block: 80:9-80:17"
