"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_factory.py","call function: 22:22-22:59","call in function: parse_model_name@18-32","callee=str.replace","basic block: 22:22-22:18"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/optim/_param_groups.py","call function: 135:49-135:87","call in function: param_groups_layer_decay@69-137","callee=json.dumps","basic block: 134:16-135:88"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_hub.py","call function: 277:13-277:65","call in function: load_state_dict_from_path@269-299","callee=logging.info","basic block: 277:13-279:17"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_hub.py","call function: 286:17-289:17","call in function: load_state_dict_from_path@269-299","callee=logging.warning","basic block: 286:17-289:17"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_registry.py","call function: 90:9-94:9","call in function: register_model@75-136","callee=warnings.warn","basic block: 90:9-94:9"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_registry.py","call function: 143:9-143:114","call in function: _fn@140-145","callee=warnings.warn","basic block: 142:24-145:78"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_registry.py","call function: 143:9-143:114","call in function: _deprecated_model_shim@139-146","callee=warnings.warn","basic block: 142:24-145:78"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 49:5-49:78","call in function: checkpoint_metric@46-58","callee=print","basic block: 49:5-52:29"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 56:9-56:22","call in function: checkpoint_metric@46-58","callee=print","basic block: 55:19-57:14"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 78:9-81:9","call in function: main@61-148","callee=print","basic block: 78:9-81:9"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 84:9-84:75","call in function: main@61-148","callee=print","basic block: 84:9-85:15"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 102:13-102:42","call in function: main@61-148","callee=print","basic block: 102:13-103:56"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 103:14-103:24","call in function: main@61-148","callee=print","basic block: 103:30-103:24"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 103:14-103:24","call in function: listcomp@103-103","callee=print","basic block: 103:30-103:24"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 108:13-108:42","call in function: main@61-148","callee=print","basic block: 108:13-109:43"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 109:14-109:21","call in function: main@61-148","callee=print","basic block: 109:27-109:21"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 109:14-109:21","call in function: listcomp@109-109","callee=print","basic block: 109:27-109:21"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 112:9-112:56","call in function: main@61-148","callee=print","basic block: 112:9-113:15"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 120:13-120:59","call in function: main@61-148","callee=print","basic block: 120:13-121:20"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/avg_checkpoints.py","call function: 148:5-148:67","call in function: main@61-148","callee=print","basic block: 146:10-148:67"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/benchmark.py","call function: 210:9-210:18","call in function: profile_fvcore@201-211","callee=print","basic block: 209:15-210:18"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/benchmark.py","call function: 679:5-679:55","call in function: main@627-679","callee=print","basic block: 679:5-679:55"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/benchmark.py","call function: 679:24-679:52","call in function: main@627-679","callee=json.dumps","basic block: 679:5-679:55"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 177:9-177:67","call in function: main@141-231","callee=print","basic block: 173:9-178:28"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 188:9-188:87","call in function: main@141-231","callee=print","basic block: 188:9-191:35"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 214:13-214:65","call in function: main@141-231","callee=print","basic block: 214:13-215:27"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 217:21-217:75","call in function: main@141-231","callee=print","basic block: 217:21-217:75"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 219:21-219:28","call in function: main@141-231","callee=print","basic block: 219:21-219:28"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 225:13-225:80","call in function: main@141-231","callee=print","basic block: 225:13-225:80"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/bulk_runner.py","call function: 230:13-230:95","call in function: main@141-231","callee=print","basic block: 230:13-231:48"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/clean_checkpoint.py","call function: 42:9-42:80","call in function: main@38-52","callee=print","basic block: 42:9-43:15"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/clean_checkpoint.py","call function: 65:9-65:62","call in function: clean_checkpoint@55-111","callee=print","basic block: 65:9-68:38"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/clean_checkpoint.py","call function: 75:9-75:66","call in function: clean_checkpoint@55-111","callee=print","basic block: 75:9-78:17"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/clean_checkpoint.py","call function: 107:9-107:89","call in function: clean_checkpoint@55-111","callee=print","basic block: 106:9-108:29"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/clean_checkpoint.py","call function: 110:9-110:72","call in function: clean_checkpoint@55-111","callee=print","basic block: 110:9-111:17"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/layers/config.py","call function: 149:9-149:119","call in function: set_fused_attn@146-156","callee=warnings.warn","basic block: 149:9-150:14"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/convert/convert_from_mxnet.py","call function: 33:9-33:31","call in function: convert@15-71","callee=print","basic block: 30:9-37:33"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/convert/convert_from_mxnet.py","call function: 34:9-34:33","call in function: convert@15-71","callee=print","basic block: 30:9-37:33"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/convert/convert_from_mxnet.py","call function: 52:9-52:21","call in function: convert@15-71","callee=print","basic block: 51:9-56:30"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/convert/convert_from_mxnet.py","call function: 53:9-53:33","call in function: convert@15-71","callee=print","basic block: 51:9-56:30"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/convert/convert_from_mxnet.py","call function: 71:5-71:90","call in function: convert@15-71","callee=print","basic block: 64:5-71:90"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/layers/create_norm.py","call function: 74:22-74:48","call in function: get_norm_layer@60-81","callee=str.replace","basic block: 74:22-75:18"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/layers/create_norm_act.py","call function: 125:22-125:48","call in function: get_norm_act_layer@107-145","callee=str.replace","basic block: 125:22-126:22"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/convnext.py","call function: 628:13-628:74","call in function: checkpoint_filter_fn@605-644","callee=re.sub","basic block: 626:9-632:21"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/convnext.py","call function: 629:13-629:89","call in function: checkpoint_filter_fn@605-644","callee=re.sub","basic block: 626:9-632:21"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/byobnet.py","call function: 2220:13-2220:67","call in function: _convert_openai_clip@2195-2235","callee=re.sub","basic block: 2220:13-2224:44"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/byobnet.py","call function: 2221:13-2221:63","call in function: _convert_openai_clip@2195-2235","callee=re.sub","basic block: 2220:13-2224:44"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/byobnet.py","call function: 2222:13-2222:86","call in function: _convert_openai_clip@2195-2235","callee=re.sub","basic block: 2220:13-2224:44"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/byobnet.py","call function: 2223:13-2223:89","call in function: _convert_openai_clip@2195-2235","callee=re.sub","basic block: 2220:13-2224:44"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/davit.py","call function: 736:13-736:65","call in function: _convert_florence2@727-752","callee=re.sub","basic block: 733:17-750:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/davit.py","call function: 737:13-737:62","call in function: _convert_florence2@727-752","callee=re.sub","basic block: 733:17-750:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/davit.py","call function: 769:13-769:72","call in function: checkpoint_filter_fn@755-778","callee=re.sub","basic block: 768:9-777:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/davit.py","call function: 770:13-770:67","call in function: checkpoint_filter_fn@755-778","callee=re.sub","basic block: 768:9-777:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/edgenext.py","call function: 533:13-533:74","call in function: checkpoint_filter_fn@516-544","callee=re.sub","basic block: 531:9-538:32"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/edgenext.py","call function: 534:13-534:89","call in function: checkpoint_filter_fn@516-544","callee=re.sub","basic block: 531:9-538:32"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/efficientformer.py","call function: 576:13-576:79","call in function: checkpoint_filter_fn@559-583","callee=re.sub","basic block: 576:13-582:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/efficientformer.py","call function: 577:13-577:83","call in function: checkpoint_filter_fn@559-583","callee=re.sub","basic block: 576:13-582:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/efficientformer.py","call function: 578:13-578:83","call in function: checkpoint_filter_fn@559-583","callee=re.sub","basic block: 576:13-582:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/efficientformer.py","call function: 580:13-580:60","call in function: checkpoint_filter_fn@559-583","callee=re.sub","basic block: 576:13-582:19"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/eva.py","call function: 1135:21-1135:28","call in function: checkpoint_filter_fn@1068-1189","callee=print","basic block: 1134:17-1137:28"
