"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_factory.py","call function: 20:8-20:38","call in function: parse_model_name@18-32","callee=str.startswith","basic block: 18:22-20:38"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_efficientnet_builder.py","call function: 137:22-137:44","call in function: _decode_block_str@81-229","callee=re.split","basic block: 137:22-138:31"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_helpers.py","call function: 25:8-25:30","call in function: _remove_prefix@23-27","callee=str.startswith","basic block: 23:20-25:30"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_helpers.py","call function: 63:12-63:56","call in function: load_state_dict@44-87","callee=str.endswith","basic block: 63:12-63:56"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_manipulate.py","call function: 95:35-95:54","call in function: group_with_matcher@79-137","callee=re.compile","basic block: 94:21-95:28"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_manipulate.py","call function: 97:31-97:47","call in function: group_with_matcher@79-137","callee=re.compile","basic block: 97:17-97:24"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/models/_hub.py","call function: 541:73-541:97","call in function: _get_safe_alternatives@530-542","callee=str.endswith","basic block: 541:73-541:97"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/optim/_optim_factory.py","call function: 147:59-147:71","call in function: list_optimizers@122-157","callee=fnmatch.fnmatch","basic block: 147:45-147:71"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/optim/_optim_factory.py","call function: 147:59-147:71","call in function: genexpr@147-147","callee=fnmatch.fnmatch","basic block: 147:45-147:71"
"path: /home/sixsquare/codeQL/projects/pytorch-image-models/timm/optim/_optim_factory.py","call function: 152:50-152:75","call in function: list_optimizers@122-157","callee=fnmatch.fnmatch","basic block: 152:32-152:75"
