"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 503:25-503:55","call in function: gen_1D_indices_offsets@497-532","callee=random.randint","basic block: 497:36-504:20"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 503:25-503:55","call in function: test_embedding_bag_1D_padding_idx@491-633","callee=random.randint","basic block: 497:36-504:20"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 506:28-506:58","call in function: gen_1D_indices_offsets@497-532","callee=random.randint","basic block: 506:28-506:24"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 506:28-506:58","call in function: test_embedding_bag_1D_padding_idx@491-633","callee=random.randint","basic block: 506:28-506:24"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 515:32-515:73","call in function: gen_1D_indices_offsets@497-532","callee=random.randint","basic block: 515:32-515:28"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 515:32-515:73","call in function: test_embedding_bag_1D_padding_idx@491-633","callee=random.randint","basic block: 515:32-515:28"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 517:38-517:69","call in function: gen_1D_indices_offsets@497-532","callee=random.randint","basic block: 517:38-517:69"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 517:38-517:69","call in function: test_embedding_bag_1D_padding_idx@491-633","callee=random.randint","basic block: 517:38-517:69"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 517:38-517:69","call in function: listcomp@516-517","callee=random.randint","basic block: 517:38-517:69"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 707:37-707:71","call in function: test_embedding_bag_2D_padding_idx@641-749","callee=random.randint","basic block: 707:37-708:42"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 1435:13-1435:34","call in function: _test_EmbeddingBag@1333-1468","callee=random.randint","basic block: 1431:9-1449:32"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 1436:13-1436:34","call in function: _test_EmbeddingBag@1333-1468","callee=random.randint","basic block: 1431:9-1449:32"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 1437:13-1437:33","call in function: _test_EmbeddingBag@1333-1468","callee=random.randint","basic block: 1431:9-1449:32"
"path: /home/sixsquare/codeQL/projects/pytorch/test/nn/test_embedding.py","call function: 1438:13-1438:33","call in function: _test_EmbeddingBag@1333-1468","callee=random.randint","basic block: 1431:9-1449:32"
"path: /home/sixsquare/codeQL/projects/pytorch/test/quantization/fx/test_equalize_fx.py","call function: 106:26-106:49","call in function: test_input_weight_eq_observer@103-226","callee=numpy.random.randint","basic block: 105:13-106:50"
"path: /home/sixsquare/codeQL/projects/pytorch/test/quantization/fx/test_equalize_fx.py","call function: 108:19-108:42","call in function: test_input_weight_eq_observer@103-226","callee=numpy.random.randint","basic block: 108:19-109:20"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/cpython/3_13/test_float.py","call function: 435:17-435:31","call in function: test_floatasratio@425-456","callee=random.random","basic block: 434:13-438:56"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/cpython/3_13/test_float.py","call function: 436:24-436:48","call in function: test_floatasratio@425-456","callee=random.randint","basic block: 434:13-438:56"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/cpython/3_13/test_float.py","call function: 1070:17-1070:31","call in function: test_matches_float_format@1053-1074","callee=random.random","basic block: 1069:13-1074:66"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/cpython/3_13/test_float.py","call function: 1656:17-1656:45","call in function: test_roundtrip@1645-1664","callee=random.randrange","basic block: 1655:13-1660:27"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/cpython/3_13/test_float.py","call function: 1657:17-1657:31","call in function: test_roundtrip@1645-1664","callee=random.random","basic block: 1655:13-1660:27"
"path: /home/sixsquare/codeQL/projects/pytorch/test/test_foreach.py","call function: 1250:45-1250:78","call in function: test_tensors_grouping@1243-1273","callee=random.randint","basic block: 1253:17-1252:13"
"path: /home/sixsquare/codeQL/projects/pytorch/test/test_foreach.py","call function: 1250:45-1250:78","call in function: listcomp@1247-1252","callee=random.randint","basic block: 1253:17-1252:13"
"path: /home/sixsquare/codeQL/projects/pytorch/test/test_foreach.py","call function: 1251:30-1251:49","call in function: test_tensors_grouping@1243-1273","callee=random.randint","basic block: 1253:17-1252:13"
"path: /home/sixsquare/codeQL/projects/pytorch/test/test_foreach.py","call function: 1251:30-1251:49","call in function: listcomp@1247-1252","callee=random.randint","basic block: 1253:17-1252:13"
"path: /home/sixsquare/codeQL/projects/pytorch/test/inductor/test_flex_attention.py","call function: 5270:25-5270:60","call in function: test_doc_mask_clamped_repro@5238-5318","callee=random.randint","basic block: 5269:17-5271:30"
"path: /home/sixsquare/codeQL/projects/pytorch/test/inductor/test_flex_attention.py","call function: 5270:25-5270:60","call in function: generate_random_lengths@5266-5272","callee=random.randint","basic block: 5269:17-5271:30"
"path: /home/sixsquare/codeQL/projects/pytorch/test/torch_np/numpy_tests/lib/test_function_base.py","call function: 3633:23-3633:63","call in function: test_axis_keyword@3631-3644","callee=numpy.random.randint","basic block: 3631:27-3633:64"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3495:22-3495:41","call in function: gen_random_range_args@3494-3499","callee=random.randint","basic block: 3494:31-3497:26"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3496:17-3496:39","call in function: gen_random_range_args@3494-3499","callee=random.randint","basic block: 3496:45-3496:39"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3496:17-3496:39","call in function: listcomp@3496-3496","callee=random.randint","basic block: 3496:45-3496:39"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3604:21-3604:49","call in function: test_indexed_range@3576-3607","callee=random.randint","basic block: 3604:21-3607:26"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3640:24-3640:44","call in function: test_sliced_range@3609-3667","callee=random.randint","basic block: 3640:24-3640:49"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3640:24-3640:44","call in function: flip_coin@3638-3640","callee=random.randint","basic block: 3640:24-3640:49"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3640:24-3640:44","call in function: rand_slice@3637-3657","callee=random.randint","basic block: 3640:24-3640:49"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3643:21-3643:43","call in function: test_sliced_range@3609-3667","callee=random.randint","basic block: 3642:24-3644:33"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3643:21-3643:43","call in function: rand_slice@3637-3657","callee=random.randint","basic block: 3642:24-3644:33"
"path: /home/sixsquare/codeQL/projects/pytorch/test/dynamo/test_functions.py","call function: 3643:21-3643:43","call in function: r_item@3642-3648","callee=random.randint","basic block: 3642:24-3644:33"
