"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/quivr/core/quivr_core/base_config.py","call function: 38:14-38:33","call in function: from_yaml@27-42","callee=open","basic block: 27:19-42:33"
"path: /home/sixsquare/codeQL/projects/quivr/core/quivr_core/config.py","call function: 27:14-27:33","call in function: from_yaml@25-31","callee=open","basic block: 25:19-31:33"
"path: /home/sixsquare/codeQL/projects/quivr/examples/quivr-whisper/app.py","call function: 118:10-118:57","call in function: transcribe_audio_file@117-131","callee=tempfile.NamedTemporaryFile","basic block: 117:27-123:45"
"path: /home/sixsquare/codeQL/projects/quivr/examples/quivr-whisper/app.py","call function: 123:14-123:45","call in function: transcribe_audio_file@117-131","callee=open","basic block: 117:27-123:45"
"path: /home/sixsquare/codeQL/projects/quivr/core/tests/conftest.py","call function: 56:10-56:56","call in function: chunks_stream_answer@55-65","callee=open","basic block: 56:10-60:24"
"path: /home/sixsquare/codeQL/projects/quivr/core/tests/fixture_chunks.py","call function: 27:10-27:36","call in function: main@14-49","callee=open","basic block: 15:24-38:9"
"path: /home/sixsquare/codeQL/projects/quivr/core/quivr_core/brain/brain.py","call function: 167:14-167:64","call in function: load@148-206","callee=open","basic block: 167:14-172:75"
"path: /home/sixsquare/codeQL/projects/quivr/core/quivr_core/brain/brain.py","call function: 270:14-270:63","call in function: save@208-272","callee=open","basic block: 260:23-272:25"
"path: /home/sixsquare/codeQL/projects/quivr/examples/chatbot/main.py","call function: 26:10-26:47","call in function: on_chat_start@9-45","callee=open","basic block: 21:12-45:39"
"path: /home/sixsquare/codeQL/projects/quivr/examples/chatbot/main.py","call function: 29:10-31:5","call in function: on_chat_start@9-45","callee=tempfile.NamedTemporaryFile","basic block: 21:12-45:39"
"path: /home/sixsquare/codeQL/projects/quivr/examples/chatbot_voice/main.py","call function: 30:10-30:47","call in function: on_chat_start@13-49","callee=open","basic block: 25:12-49:39"
"path: /home/sixsquare/codeQL/projects/quivr/examples/chatbot_voice/main.py","call function: 33:10-35:5","call in function: on_chat_start@13-49","callee=tempfile.NamedTemporaryFile","basic block: 25:12-49:39"
"path: /home/sixsquare/codeQL/projects/quivr/examples/save_load_brain.py","call function: 8:10-8:61","call in function: main@7-17","callee=tempfile.NamedTemporaryFile","basic block: 8:10-17:33"
"path: /home/sixsquare/codeQL/projects/quivr/examples/simple_question/simple_question_streaming.py","call function: 14:10-14:61","call in function: main@10-29","callee=tempfile.NamedTemporaryFile","basic block: 11:19-23:81"
