"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/air/tests/_test_experiment_restore_run.py","call function: 79:21-79:32","call in function: restore@77-80","callee=json.load","basic block: 77:17-80:25"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/train/_checkpoint.py","call function: 158:20-158:58","call in function: get_metadata@148-158","callee=json.loads","basic block: 157:14-158:58"
"path: /home/sixsquare/codeQL/projects/ray/doc/source/ray-core/doc_code/actor_checkpointing.py","call function: 69:30-69:41","call in function: __init__@63-71","callee=json.load","basic block: 68:18-69:26"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/dashboard/modules/aggregator/aggregator_agent.py","call function: 276:13-278:13","call in function: _send_events_to_external_service@257-296","callee=json.loads","basic block: 279:17-278:13"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/dashboard/modules/aggregator/aggregator_agent.py","call function: 276:13-278:13","call in function: listcomp@275-278","callee=json.loads","basic block: 279:17-278:13"
"path: /home/sixsquare/codeQL/projects/ray/release/ray_release/command_runner/anyscale_job_runner.py","call function: 139:31-139:62","call in function: _handle_command_output@109-191","callee=json.loads","basic block: 139:31-139:62"
"path: /home/sixsquare/codeQL/projects/ray/release/ray_release/command_runner/anyscale_job_runner.py","call function: 291:24-291:42","call in function: _fetch_json@279-299","callee=json.loads","basic block: 291:35-291:42"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/serve/api.py","call function: 303:34-305:13","call in function: ingress@194-329","callee=pickle.loads","basic block: 302:13-303:30"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/serve/api.py","call function: 303:34-305:13","call in function: decorator@272-327","callee=pickle.loads","basic block: 302:13-303:30"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/serve/_private/application_state.py","call function: 919:38-919:66","call in function: _recover_from_checkpoint@916-929","callee=pickle.loads","basic block: 919:38-921:75"
"path: /home/sixsquare/codeQL/projects/ray/rllib/algorithms/algorithm.py","call function: 3966:25-3966:38","call in function: _checkpoint_info_to_algorithm_state@3916-4066","callee=pickle.load","basic block: 3966:25-3970:74"
"path: /home/sixsquare/codeQL/projects/ray/rllib/algorithms/algorithm.py","call function: 4046:62-4046:75","call in function: _checkpoint_info_to_algorithm_state@3916-4066","callee=pickle.load","basic block: 4042:22-4046:58"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/air/util/object_extensions/arrow.py","call function: 87:16-87:67","call in function: as_py@82-87","callee=pickle.load","basic block: 87:16-87:67"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/air/util/tensor_extensions/arrow.py","call function: 62:16-62:44","call in function: _deserialize_with_fallback@58-70","callee=pickle.loads","basic block: 62:34-62:44"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/air/util/tensor_extensions/arrow.py","call function: 66:20-66:41","call in function: _deserialize_with_fallback@58-70","callee=json.loads","basic block: 66:31-66:41"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/tune/schedulers/async_hyperband.py","call function: 183:27-183:48","call in function: restore@181-184","callee=pickle.load","basic block: 181:17-184:41"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/autoscaler/_private/kuberay/autoscaling_config.py","call function: 452:21-452:46","call in function: _get_custom_resources@432-465","callee=json.loads","basic block: 452:32-452:46"
"path: /home/sixsquare/codeQL/projects/ray/doc/source/serve/doc_code/aws_neuron_core_inference_serve.py","call function: 61:22-61:49","call in function: __init__@57-71","callee=torch.jit.load","basic block: 57:18-63:21"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/autoscaler/_private/autoscaler.py","call function: 231:34-231:57","call in function: __init__@188-361","callee=yaml.safe_load","basic block: 230:22-232:33"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/autoscaler/_private/autoscaler.py","call function: 231:34-231:57","call in function: read_fn@229-232","callee=yaml.safe_load","basic block: 230:22-232:33"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/tune/search/ax/ax_search.py","call function: 431:27-431:53","call in function: restore@429-432","callee=pickle.load","basic block: 429:17-432:41"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/llm/_internal/common/base_pydantic.py","call function: 24:21-24:45","call in function: parse_yaml@22-25","callee=yaml.load","basic block: 22:20-25:44"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/train/base_trainer.py","call function: 383:39-383:63","call in function: restore@273-428","callee=pickle.loads","basic block: 380:23-385:33"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/train/base_trainer.py","call function: 524:29-524:65","call in function: _validate_attributes@488-540","callee=json.loads","basic block: 524:29-524:65"
"path: /home/sixsquare/codeQL/projects/ray/release/nightly_tests/dataset/batch_inference_benchmark.py","call function: 45:16-45:45","call in function: main@42-75","callee=pandas.read_parquet","basic block: 42:10-75:28"
"path: /home/sixsquare/codeQL/projects/ray/release/nightly_tests/dataset/batch_inference_benchmark.py","call function: 85:17-85:32","call in function: __call__@82-86","callee=PIL.Image.open","basic block: 82:18-86:41"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/tune/search/bayesopt/bayesopt_search.py","call function: 390:27-390:40","call in function: restore@387-402","callee=pickle.load","basic block: 387:17-392:40"
"path: /home/sixsquare/codeQL/projects/ray/ci/ray_ci/bazel_sharding.py","call function: 190:12-190:32","call in function: run_bazel_query@172-190","callee=xml.etree.ElementTree.fromstring","basic block: 190:12-190:32"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/tune/examples/bohb_example.py","call function: 49:29-49:48","call in function: load_checkpoint@46-49","callee=json.loads","basic block: 46:25-49:25"
"path: /home/sixsquare/codeQL/projects/ray/ci/ray_ci/doc/build_cache.py","call function: 60:33-60:46","call in function: _massage_cache@51-69","callee=pickle.load","basic block: 51:24-61:75"
"path: /home/sixsquare/codeQL/projects/ray/python/ray/tune/search/bohb/bohb_search.py","call function: 382:27-382:53","call in function: restore@380-383","callee=pickle.load","basic block: 380:17-383:41"
"path: /home/sixsquare/codeQL/projects/ray/rllib/examples/ray_serve/classes/cartpole_deployment.py","call function: 30:19-30:37","call in function: __call__@27-43","callee=json.loads","basic block: 27:24-43:33"
