"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/__init__.py","call function: 86:9-90:9","call in function: check_compatibility@58-90","callee=warnings.warn","basic block: 86:9-90:9"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/__init__.py","call function: 104:9-104:57","call in function: _check_cryptography@93-104","callee=warnings.warn","basic block: 101:19-104:57"
"path: /home/sixsquare/codeQL/projects/requests/tests/compat.py","call function: 15:5-22:5","call in function: u@14-23","callee=warnings.warn","basic block: 14:7-23:12"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/auth.py","call function: 36:9-42:9","call in function: _basic_auth_str@25-66","callee=warnings.warn","basic block: 36:9-43:16"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/auth.py","call function: 46:9-52:9","call in function: _basic_auth_str@25-66","callee=warnings.warn","basic block: 46:9-53:16"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/adapters.py","call function: 484:9-492:9","call in function: get_connection@472-511","callee=warnings.warn","basic block: 472:24-495:16"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/help.py","call function: 130:5-130:55","call in function: main@128-130","callee=print","basic block: 129:5-130:55"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/help.py","call function: 130:11-130:54","call in function: main@128-130","callee=json.dumps","basic block: 129:5-130:55"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_structures.py","call function: 35:16-35:47","call in function: test_repr@34-35","callee=repr","basic block: 34:19-35:83"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_structures.py","call function: 62:16-62:37","call in function: test_repr@61-62","callee=repr","basic block: 61:19-62:58"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/models.py","call function: 510:24-510:63","call in function: prepare_body@494-570","callee=json.dumps","basic block: 510:42-510:63"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/utils.py","call function: 165:17-175:17","call in function: super_len@136-204","callee=warnings.warn","basic block: 165:17-175:17"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/utils.py","call function: 484:5-491:5","call in function: get_encodings_from_content@479-501","callee=warnings.warn","basic block: 479:32-501:5"
"path: /home/sixsquare/codeQL/projects/requests/src/requests/utils.py","call function: 593:5-600:5","call in function: get_unicode_from_response@581-617","callee=warnings.warn","basic block: 581:31-607:15"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 276:9-276:24","call in function: test_http_301_doesnt_change_head_to_get@274-280","callee=print","basic block: 274:49-277:35"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 627:17-627:26","call in function: test_respect_proxy_env_on_send_with_redirects@622-629","callee=print","basic block: 622:55-629:47"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 748:13-748:48","call in function: test_DIGEST_HTTP_200_OK_GET@738-753","callee=print","basic block: 747:13-753:39"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 1076:32-1076:53","call in function: test_different_encodings_dont_break_post@1072-1080","callee=json.dumps","basic block: 1072:50-1080:35"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 1147:34-1147:55","call in function: test_custom_content_type@1144-1154","callee=json.dumps","basic block: 1144:34-1153:35"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 3040:12-3040:34","call in function: test_json_decode_errors_are_serializable_deserializable@3033-3040","callee=repr","basic block: 3034:25-3040:62"
"path: /home/sixsquare/codeQL/projects/requests/tests/test_requests.py","call function: 3040:39-3040:62","call in function: test_json_decode_errors_are_serializable_deserializable@3033-3040","callee=repr","basic block: 3034:25-3040:62"
