"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/rich/examples/rainbow.py","call function: 16:35-16:50","call in function: highlight@14-16","callee=random.randint","basic block: 15:13-16:72"
"path: /home/sixsquare/codeQL/projects/rich/rich/style.py","call function: 193:16-193:33","call in function: __init__@122-196","callee=random.randint","basic block: 193:13-193:53"
"path: /home/sixsquare/codeQL/projects/rich/rich/style.py","call function: 243:29-243:46","call in function: from_meta@228-246","callee=random.randint","basic block: 228:19-246:20"
"path: /home/sixsquare/codeQL/projects/rich/rich/style.py","call function: 490:29-490:46","call in function: without_color@478-494","callee=random.randint","basic block: 490:26-490:48"
"path: /home/sixsquare/codeQL/projects/rich/rich/style.py","call function: 642:29-642:46","call in function: copy@626-646","callee=random.randint","basic block: 642:26-642:48"
"path: /home/sixsquare/codeQL/projects/rich/rich/style.py","call function: 688:29-688:46","call in function: update_link@671-692","callee=random.randint","basic block: 688:26-688:48"
"path: /home/sixsquare/codeQL/projects/rich/examples/top_lite_simulator.py","call function: 41:21-41:35","call in function: generate_process@37-47","callee=random.random","basic block: 37:22-46:52"
"path: /home/sixsquare/codeQL/projects/rich/examples/top_lite_simulator.py","call function: 42:16-42:38","call in function: generate_process@37-47","callee=random.randint","basic block: 37:22-46:52"
"path: /home/sixsquare/codeQL/projects/rich/examples/top_lite_simulator.py","call function: 44:38-44:59","call in function: generate_process@37-47","callee=random.randint","basic block: 37:22-46:52"
"path: /home/sixsquare/codeQL/projects/rich/examples/top_lite_simulator.py","call function: 45:22-45:42","call in function: generate_process@37-47","callee=random.randint","basic block: 37:22-46:52"
"path: /home/sixsquare/codeQL/projects/rich/examples/top_lite_simulator.py","call function: 46:28-46:48","call in function: generate_process@37-47","callee=random.randint","basic block: 37:22-46:52"
