"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_base.py","call function: 1424:10-1424:25","call in function: _sha256@1420-1430","callee=open","basic block: 1420:13-1424:30"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_base.py","call function: 1499:17-1501:5","call in function: _fetch_remote@1433-1538","callee=tempfile.NamedTemporaryFile","basic block: 1499:17-1509:29"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_covtype.py","call function: 198:14-198:48","call in function: fetch_covtype@79-252","callee=tempfile.TemporaryDirectory","basic block: 193:9-214:53"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/tree/_export.py","call function: 924:24-924:60","call in function: export_graphviz@792-955","callee=open","basic block: 924:24-924:60"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_lfw.py","call function: 441:10-441:36","call in function: _fetch_lfw_pairs@432-481","callee=open","basic block: 433:5-450:46"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_openml.py","call function: 176:18-176:49","call in function: _open_openml_url@124-197","callee=tempfile.TemporaryDirectory","basic block: 176:41-176:49"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_openml.py","call function: 187:26-187:70","call in function: _open_openml_url@124-197","callee=open","basic block: 187:66-187:70"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_svmlight_format_io.py","call function: 196:16-196:43","call in function: _gen_open@194-212","callee=open","basic block: 196:16-196:43"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_svmlight_format_io.py","call function: 212:16-212:28","call in function: _gen_open@194-212","callee=open","basic block: 212:16-212:28"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_svmlight_format_io.py","call function: 589:14-589:26","call in function: dump_svmlight_file@462-590","callee=open","basic block: 589:14-590:77"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_twenty_newsgroups.py","call function: 96:10-96:31","call in function: _download_20newsgroups@71-100","callee=open","basic block: 71:28-100:16"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/_twenty_newsgroups.py","call function: 307:18-307:39","call in function: fetch_20newsgroups@177-386","callee=open","basic block: 306:9-307:39"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/utils/_testing.py","call function: 413:19-413:61","call in function: create_memmap_backed_data@405-421","callee=tempfile.mkdtemp","basic block: 405:31-419:47"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/utils/_testing.py","call function: 920:23-920:69","call in function: assert_run_python_script_without_output@902-961","callee=tempfile.mkstemp","basic block: 902:45-923:36"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/utils/_testing.py","call function: 923:14-923:36","call in function: assert_run_python_script_without_output@902-961","callee=open","basic block: 902:45-923:36"
"path: /home/sixsquare/codeQL/projects/scikit-learn/benchmarks/bench_saga.py","call function: 239:10-239:38","call in function: exp@149-240","callee=open","basic block: 239:10-240:25"
"path: /home/sixsquare/codeQL/projects/scikit-learn/benchmarks/bench_saga.py","call function: 246:10-246:37","call in function: plot@243-359","callee=open","basic block: 243:10-257:29"
"path: /home/sixsquare/codeQL/projects/scikit-learn/benchmarks/bench_plot_randomized_svd.py","call function: 136:10-136:30","call in function: unpickle@135-137","callee=open","basic block: 135:14-137:57"
"path: /home/sixsquare/codeQL/projects/scikit-learn/asv_benchmarks/benchmarks/common.py","call function: 18:10-18:31","call in function: get_from_config@13-56","callee=open","basic block: 14:5-25:22"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/utils/_repr_html/estimator.py","call function: 489:14-489:67","call in function: estimator_html_repr@407-497","callee=open","basic block: 445:9-497:26"
"path: /home/sixsquare/codeQL/projects/scikit-learn/doc/conf.py","call function: 615:18-615:34","call in function: __call__@605-623","callee=open","basic block: 612:18-615:34"
"path: /home/sixsquare/codeQL/projects/scikit-learn/doc/conf.py","call function: 812:10-812:36","call in function: filter_search_index@801-819","callee=open","basic block: 809:5-819:33"
"path: /home/sixsquare/codeQL/projects/scikit-learn/doc/conf.py","call function: 818:10-818:36","call in function: filter_search_index@801-819","callee=open","basic block: 809:5-819:33"
"path: /home/sixsquare/codeQL/projects/scikit-learn/build_tools/get_comment.py","call function: 24:10-24:33","call in function: get_versions@11-25","callee=open","basic block: 11:18-25:58"
"path: /home/sixsquare/codeQL/projects/scikit-learn/build_tools/get_comment.py","call function: 71:10-71:28","call in function: get_message@70-224","callee=open","basic block: 70:17-81:45"
"path: /home/sixsquare/codeQL/projects/scikit-learn/examples/applications/plot_out_of_core_classification.py","call function: 180:33-180:52","call in function: stream_reuters_documents@134-181","callee=open","basic block: 179:9-180:53"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/_build_utils/tempita.py","call function: 22:10-22:46","call in function: process_tempita@15-29","callee=open","basic block: 15:21-29:24"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/_build_utils/tempita.py","call function: 28:10-28:45","call in function: process_tempita@15-29","callee=open","basic block: 15:21-29:24"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_base.py","call function: 76:26-76:62","call in function: test_category_dir_1@75-81","callee=tempfile.mkdtemp","basic block: 75:25-81:35"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_base.py","call function: 77:19-77:83","call in function: test_category_dir_1@75-81","callee=tempfile.NamedTemporaryFile","basic block: 75:25-81:35"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_base.py","call function: 86:26-86:62","call in function: test_category_dir_2@85-88","callee=tempfile.mkdtemp","basic block: 85:25-88:35"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_base.py","call function: 540:5-540:55","call in function: test_fetch_file_without_sha256@536-573","callee=pathlib.Path.write_text","basic block: 536:36-552:58"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_base.py","call function: 580:5-580:55","call in function: test_fetch_file_with_sha256@576-659","callee=pathlib.Path.write_text","basic block: 576:33-592:58"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/cluster/tests/test_hierarchical.py","call function: 196:23-196:31","call in function: test_agglomerative_clustering@181-272","callee=tempfile.mkdtemp","basic block: 196:23-196:31"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_lfw.py","call function: 71:10-71:51","call in function: mock_data_home@40-95","callee=open","basic block: 66:6-74:25"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_openml.py","call function: 1383:18-1383:36","call in function: test_open_openml_url_unlinks_local_path@1374-1392","callee=open","basic block: 1383:18-1384:27"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_openml.py","call function: 1383:18-1383:36","call in function: _mock_urlopen@1381-1385","callee=open","basic block: 1383:18-1384:27"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_openml.py","call function: 1402:10-1402:28","call in function: test_retry_with_clean_cache@1395-1415","callee=open","basic block: 1395:33-1415:22"
"path: /home/sixsquare/codeQL/projects/scikit-learn/sklearn/datasets/tests/test_openml.py","call function: 1507:18-1507:46","call in function: test_fetch_openml_verify_checksum@1478-1521","callee=open","basic block: 1507:18-1509:75"
