"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/settings/__init__.py","call function: 261:21-261:37","call in function: getdict@241-262","callee=json.loads","basic block: 261:21-261:17"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/settings/__init__.py","call function: 295:32-295:48","call in function: getdictorlist@264-303","callee=json.loads","basic block: 295:43-295:48"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/settings/__init__.py","call function: 522:55-522:72","call in function: update@498-529","callee=json.loads","basic block: 522:22-522:18"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_cmdline/__init__.py","call function: 67:24-67:46","call in function: test_override_dict_settings@53-69","callee=json.loads","basic block: 67:24-68:65"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/contracts/default.py","call function: 36:29-36:59","call in function: adjust_request_args@35-37","callee=json.loads","basic block: 35:29-37:19"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/contracts/default.py","call function: 50:24-50:54","call in function: adjust_request_args@49-51","callee=json.loads","basic block: 49:29-51:19"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/utils/engine.py","call function: 35:31-35:40","call in function: get_engine_status@13-39","callee=eval","basic block: 33:9-35:40"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/commands/parse.py","call function: 385:29-385:49","call in function: process_request_meta@382-391","callee=json.loads","basic block: 385:29-385:49"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/commands/parse.py","call function: 396:33-396:57","call in function: process_request_cb_kwargs@393-402","callee=json.loads","basic block: 396:33-396:57"
"path: /home/sixsquare/codeQL/projects/scrapy/scrapy/shell.py","call function: 77:19-77:55","call in function: start@56-100","callee=eval","basic block: 77:13-77:56"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_commands.py","call function: 50:56-50:77","call in function: test_settings_json_string@43-50","callee=json.loads","basic block: 49:9-50:77"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_downloader_handler_twisted_http2.py","call function: 173:16-173:40","call in function: test_duplicate_header@165-173","callee=json.loads","basic block: 166:9-173:79"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_downloader_handlers_http_base.py","call function: 203:27-203:51","call in function: test_content_length_zero_bodyless_post_only_one@196-206","callee=json.loads","basic block: 197:9-205:39"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_crawl.py","call function: 326:17-326:80","call in function: test_referer_header@311-336","callee=json.loads","basic block: 324:9-327:48"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_crawl.py","call function: 329:17-329:80","call in function: test_referer_header@311-336","callee=json.loads","basic block: 327:9-330:60"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_crawl.py","call function: 332:17-332:80","call in function: test_referer_header@311-336","callee=json.loads","basic block: 330:9-333:48"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_crawl.py","call function: 335:17-335:80","call in function: test_referer_header@311-336","callee=json.loads","basic block: 333:9-336:72"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_exporters.py","call function: 199:13-199:40","call in function: _check_output@197-200","callee=eval","basic block: 197:23-200:9"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_exporters.py","call function: 513:20-513:73","call in function: _check_output@512-514","callee=json.loads","basic block: 512:23-514:55"
"path: /home/sixsquare/codeQL/projects/scrapy/tests/test_exporters.py","call function: 524:20-524:65","call in function: test_nested_item@516-525","callee=json.loads","basic block: 516:26-525:48"
