"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/debug/DebugFileWriter.py","call function: 14:41-16:13","call in function: __init__@9-20","callee=os.path.expanduser","basic block: 14:41-16:13"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/debug/DebugFileWriter.py","call function: 17:13-17:65","call in function: __init__@9-20","callee=os.makedirs","basic block: 17:61-17:65"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/debug/DebugFileWriter.py","call function: 24:18-24:77","call in function: write_to_file@22-27","callee=open","basic block: 24:74-24:77"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/debug/DebugFileWriter.py","call function: 24:23-24:71","call in function: write_to_file@22-27","callee=os.path.join","basic block: 24:63-24:71"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/fs_logging/core.py","call function: 12:22-12:56","call in function: write_logs@7-23","callee=os.path.join","basic block: 7:16-13:41"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/fs_logging/core.py","call function: 13:12-13:41","call in function: write_logs@7-23","callee=os.path.exists","basic block: 7:16-13:41"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/fs_logging/core.py","call function: 14:9-14:35","call in function: write_logs@7-23","callee=os.makedirs","basic block: 14:9-14:35"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/fs_logging/core.py","call function: 22:10-22:28","call in function: write_logs@7-23","callee=open","basic block: 16:5-23:82"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 32:17-32:49","call in function: get_eval_input_files@30-43","callee=os.path.join","basic block: 31:5-35:26"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 35:25-35:45","call in function: get_eval_input_files@30-43","callee=os.listdir","basic block: 35:36-35:45"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 37:29-37:61","call in function: get_eval_input_files@30-43","callee=os.path.join","basic block: 37:42-37:61"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 52:12-52:31","call in function: get_evals@47-95","callee=pathlib.Path.exists","basic block: 51:19-52:31"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 59:16-59:38","call in function: get_evals@47-95","callee=os.path.join","basic block: 59:16-59:38"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 59:16-59:38","call in function: dictcomp@58-59","callee=os.path.join","basic block: 59:16-59:38"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 60:22-60:39","call in function: get_evals@47-95","callee=os.listdir","basic block: 60:33-60:39"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 75:26-75:78","call in function: get_evals@47-95","callee=os.path.join","basic block: 75:26-75:78"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 76:20-76:45","call in function: get_evals@47-95","callee=os.path.exists","basic block: 76:35-76:45"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 88:22-88:61","call in function: get_evals@47-95","callee=open","basic block: 87:17-88:61"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 115:12-115:34","call in function: get_pairwise_evals@105-173","callee=os.path.exists","basic block: 106:5-115:34"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 115:43-115:65","call in function: get_pairwise_evals@105-173","callee=os.path.exists","basic block: 115:43-115:65"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 122:12-122:35","call in function: get_pairwise_evals@105-173","callee=os.path.join","basic block: 122:12-122:35"
"path: /home/sixsquare/codeQL/projects/screenshot-to-code/backend/routes/evals.py","call function: 122:12-122:35","call in function: dictcomp@121-122","callee=os.path.join","basic block: 122:12-122:35"
