"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/lang/dart/utils.py","call function: 50:18-50:44","call in function: generate_dart_symbols_map@34-63","callee=open","basic block: 50:18-50:44"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/lang/javascript/utils.py","call function: 118:21-118:48","call in function: generate_module@105-129","callee=os.path.splitext","basic block: 118:21-119:32"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/models/files/utils.py","call function: 128:25-128:46","call in function: clear_cached_files@126-150","callee=os.listdir","basic block: 128:36-128:46"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/models/files/utils.py","call function: 135:24-135:61","call in function: clear_cached_files@126-150","callee=os.path.join","basic block: 134:9-137:22"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/models/files/utils.py","call function: 137:21-137:44","call in function: clear_cached_files@126-150","callee=os.listdir","basic block: 137:32-137:44"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/models/files/utils.py","call function: 141:27-141:65","call in function: clear_cached_files@126-150","callee=os.path.join","basic block: 140:13-143:26"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/models/files/utils.py","call function: 148:21-148:42","call in function: clear_cached_files@126-150","callee=os.remove","basic block: 148:31-148:42"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/utils/zip.py","call function: 11:8-11:26","call in function: is_unsafe_path@10-16","callee=os.path.isabs","basic block: 10:20-11:26"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/utils/zip.py","call function: 30:19-30:31","call in function: safe_extract_zip@19-42","callee=zipfile.ZipFile.namelist","basic block: 30:19-31:29"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/utils/zip.py","call function: 38:24-38:49","call in function: safe_extract_zip@19-42","callee=os.path.join","basic block: 38:24-42:46"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/utils/zip.py","call function: 39:13-39:65","call in function: safe_extract_zip@19-42","callee=os.makedirs","basic block: 38:24-42:46"
"path: /home/sixsquare/codeQL/projects/sentry/src/sentry/utils/zip.py","call function: 39:25-39:49","call in function: safe_extract_zip@19-42","callee=os.path.dirname","basic block: 38:24-42:46"
