"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/__init__.py","call function: 18:40-18:71","call in function: get_version@13-21","callee=pathlib.Path.resolve","basic block: 17:5-21:58"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/conftest.py","call function: 8:49-8:130","call in function: fetch_local_manifest@7-10","callee=os.path.join","basic block: 7:26-10:25"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/conftest.py","call function: 8:62-8:86","call in function: fetch_local_manifest@7-10","callee=os.path.dirname","basic block: 7:26-10:25"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/conftest.py","call function: 14:49-14:130","call in function: sites_obj@13-15","callee=os.path.join","basic block: 14:17-15:19"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/conftest.py","call function: 14:62-14:86","call in function: sites_obj@13-15","callee=os.path.dirname","basic block: 14:17-15:19"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 11:22-11:75","call in function: test_validate_manifest_against_local_schema@6-19","callee=os.path.join","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 11:35-11:59","call in function: test_validate_manifest_against_local_schema@6-19","callee=os.path.dirname","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 12:24-12:79","call in function: test_validate_manifest_against_local_schema@6-19","callee=os.path.join","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 12:37-12:61","call in function: test_validate_manifest_against_local_schema@6-19","callee=os.path.dirname","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 14:10-14:29","call in function: test_validate_manifest_against_local_schema@6-19","callee=open","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 16:10-16:31","call in function: test_validate_manifest_against_local_schema@6-19","callee=open","basic block: 7:5-19:48"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 26:22-26:75","call in function: test_validate_manifest_against_remote_schema@23-31","callee=os.path.join","basic block: 23:50-31:52"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 26:35-26:59","call in function: test_validate_manifest_against_remote_schema@23-31","callee=os.path.dirname","basic block: 23:50-31:52"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_manifest.py","call function: 28:10-28:29","call in function: test_validate_manifest_against_remote_schema@23-31","callee=open","basic block: 23:50-31:52"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/sherlock_interactives.py","call function: 27:34-27:60","call in function: walk_sherlock_for_files_with@23-35","callee=os.walk","basic block: 23:38-27:60"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/sherlock_interactives.py","call function: 29:29-29:51","call in function: walk_sherlock_for_files_with@23-35","callee=os.path.join","basic block: 28:17-30:45"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/sherlock_interactives.py","call function: 32:22-32:58","call in function: walk_sherlock_for_files_with@23-35","callee=open","basic block: 32:22-33:47"
"path: /home/sixsquare/codeQL/projects/sherlock/tests/test_version.py","call function: 13:9-13:56","call in function: test_versioning@5-16","callee=os.path.normpath","basic block: 7:5-16:44"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sites.py","call function: 152:22-152:64","call in function: __init__@79-211","callee=open","basic block: 151:13-152:64"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 795:17-795:78","call in function: main@566-986","callee=os.path.join","basic block: 795:57-795:78"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 795:30-795:54","call in function: main@566-986","callee=os.path.dirname","basic block: 795:30-795:54"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 886:13-886:57","call in function: main@566-986","callee=os.makedirs","basic block: 886:13-887:23"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 887:27-887:76","call in function: main@566-986","callee=os.path.join","basic block: 886:13-887:23"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 892:18-892:57","call in function: main@566-986","callee=open","basic block: 892:18-894:43"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 906:17-906:61","call in function: main@566-986","callee=os.makedirs","basic block: 906:17-907:27"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 907:31-907:74","call in function: main@566-986","callee=os.path.join","basic block: 906:17-907:27"
"path: /home/sixsquare/codeQL/projects/sherlock/sherlock_project/sherlock.py","call function: 909:18-909:69","call in function: main@566-986","callee=open","basic block: 909:18-922:35"
