"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/sqlmap/extra/beep/beep.py","call function: 41:5-41:60","call in function: _cygwin_beep@40-41","callee=os.system","basic block: 40:18-41:60"
"path: /home/sixsquare/codeQL/projects/sqlmap/extra/beep/beep.py","call function: 44:5-44:60","call in function: _mac_wav_play@43-44","callee=os.system","basic block: 43:19-44:60"
"path: /home/sixsquare/codeQL/projects/sqlmap/extra/beep/beep.py","call function: 53:16-53:63","call in function: _linux_wav_play@51-100","callee=os.system","basic block: 52:9-53:63"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/utils/api.py","call function: 837:40-837:59","call in function: client@761-918","callee=shlex.split","basic block: 837:52-837:59"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/parse/cmdline.py","call function: 984:28-984:47","call in function: cmdLineParser@97-1134","callee=shlex.split","basic block: 984:40-984:47"
"path: /home/sixsquare/codeQL/projects/sqlmap/thirdparty/bottle/bottle.py","call function: 4065:21-4065:55","call in function: run@4023-4133","callee=subprocess.Popen","basic block: 4065:38-4065:55"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/controller/controller.py","call function: 624:63-624:102","call in function: start@268-794","callee=subprocess.Popen","basic block: 624:98-624:102"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/common.py","call function: 2389:18-2389:100","call in function: shellExec@2378-2395","callee=subprocess.Popen","basic block: 2389:76-2389:100"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/gui.py","call function: 196:19-196:252","call in function: runGui@38-426","callee=subprocess.Popen","basic block: 196:65-222:19"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/gui.py","call function: 196:19-196:252","call in function: run@151-234","callee=subprocess.Popen","basic block: 196:65-222:19"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/revision.py","call function: 59:23-59:129","call in function: getRevisionNumber@15-66","callee=subprocess.Popen","basic block: 59:107-59:129"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/target.py","call function: 679:43-679:75","call in function: _createTargetDirs@654-696","callee=subprocess.list2cmdline","basic block: 679:43-679:75"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/update.py","call function: 53:23-53:153","call in function: update@35-171","callee=subprocess.Popen","basic block: 53:127-53:153"
"path: /home/sixsquare/codeQL/projects/sqlmap/lib/core/update.py","call function: 140:23-140:183","call in function: update@35-171","callee=subprocess.Popen","basic block: 140:157-140:183"
