"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/textual_inversion/autocrop.py","call function: 314:20-314:42","call in function: download_and_cache_models@310-317","callee=requests.get","basic block: 312:9-316:37"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/api/api.py","call function: 64:22-64:34","call in function: verify_url@58-74","callee=urllib.parse.urlparse","basic block: 58:16-64:34"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/api/api.py","call function: 68:23-68:46","call in function: verify_url@58-74","callee=ipaddress.ip_address","basic block: 68:44-68:46"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/api/api.py","call function: 86:20-86:70","call in function: decode_base64_to_image@77-99","callee=requests.get","basic block: 85:19-88:26"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/launch_utils.py","call function: 214:19-214:115","call in function: version_check@211-225","callee=requests.get","basic block: 214:32-214:115"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/modelloader.py","call function: 95:16-95:29","call in function: friendly_name@93-99","callee=urllib.parse.urlparse","basic block: 95:16-95:12"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/modelloader.py","call function: 34:17-34:29","call in function: load_file_from_url@20-41","callee=urllib.parse.urlparse","basic block: 34:17-35:17"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/sd_models.py","call function: 577:13-577:61","call in function: enable_midas_autodownload@542-582","callee=urllib.request.urlretrieve","basic block: 576:13-578:45"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/modules/sd_models.py","call function: 577:13-577:61","call in function: load_model_wrapper@570-580","callee=urllib.request.urlretrieve","basic block: 576:13-578:45"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_extras.py","call function: 20:12-20:81","call in function: test_simple_upscaling_performed@4-20","callee=requests.post","basic block: 4:37-20:100"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_extras.py","call function: 27:12-27:81","call in function: test_png_info_performed@23-27","callee=requests.post","basic block: 23:29-27:100"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_extras.py","call function: 35:12-35:81","call in function: test_interrogate_performed@30-35","callee=requests.post","basic block: 30:32-35:100"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_img2img.py","call function: 51:12-51:66","call in function: test_img2img_simple_performed@50-51","callee=requests.post","basic block: 50:35-51:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_img2img.py","call function: 56:12-56:66","call in function: test_inpainting_masked_performed@54-56","callee=requests.post","basic block: 54:38-56:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_img2img.py","call function: 62:12-62:66","call in function: test_inpainting_with_inverted_masked_performed@59-62","callee=requests.post","basic block: 59:52-62:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_img2img.py","call function: 68:12-68:66","call in function: test_img2img_sd_upscale_performed@65-68","callee=requests.post","basic block: 65:39-68:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_utils.py","call function: 7:16-7:40","call in function: test_options_write@5-18","callee=requests.get","basic block: 5:24-8:38"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_utils.py","call function: 12:12-12:74","call in function: test_options_write@5-18","callee=requests.post","basic block: 8:5-12:93"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_utils.py","call function: 14:16-14:40","call in function: test_options_write@5-18","callee=requests.get","basic block: 12:5-15:38"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_utils.py","call function: 18:5-18:61","call in function: test_options_write@5-18","callee=requests.post","basic block: 16:5-18:61"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_utils.py","call function: 33:12-33:44","call in function: test_get_api_url@32-33","callee=requests.get","basic block: 32:22-33:63"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_txt2img.py","call function: 44:12-44:66","call in function: test_txt2img_simple_performed@43-44","callee=requests.post","basic block: 43:35-44:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_txt2img.py","call function: 49:12-49:66","call in function: test_txt2img_with_negative_prompt_performed@47-49","callee=requests.post","basic block: 47:49-49:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_txt2img.py","call function: 54:12-54:66","call in function: test_txt2img_with_complex_prompt_performed@52-54","callee=requests.post","basic block: 52:48-54:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_txt2img.py","call function: 59:12-59:66","call in function: test_txt2img_not_square_image_performed@57-59","callee=requests.post","basic block: 57:45-59:85"
"path: /home/sixsquare/codeQL/projects/stable-diffusion-webui/test/test_txt2img.py","call function: 64:12-64:66","call in function: test_txt2img_with_hrfix_performed@62-64","callee=requests.post","basic block: 62:39-64:85"
