"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/midas/midas/base_model.py","call function: 11:22-11:71","call in function: load@5-16","callee=torch.load","basic block: 5:14-13:36"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/models/autoencoder.py","call function: 53:14-53:49","call in function: init_from_ckpt@52-61","callee=torch.load","basic block: 52:24-55:21"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/karlo/kakao/models/clip.py","call function: 76:22-76:62","call in function: load_from_checkpoint@75-150","callee=torch.load","basic block: 75:30-79:14"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/depth2img.py","call function: 23:27-23:42","call in function: initialize_model@20-28","callee=torch.load","basic block: 20:22-25:62"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/depth2img.py","call function: 115:17-115:33","call in function: run@108-153","callee=PIL.Image.open","basic block: 115:17-135:35"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/karlo/kakao/models/decoder_model.py","call function: 50:16-50:56","call in function: load_from_checkpoint@49-54","callee=torch.load","basic block: 49:30-54:20"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/gradio/depth2img.py","call function: 22:27-22:42","call in function: initialize_model@19-28","callee=torch.load","basic block: 19:22-25:44"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/gradio/inpainting.py","call function: 31:27-31:42","call in function: initialize_model@27-38","callee=torch.load","basic block: 27:22-34:44"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/inpainting.py","call function: 32:27-32:42","call in function: initialize_model@28-38","callee=torch.load","basic block: 28:22-34:62"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/inpainting.py","call function: 134:17-134:33","call in function: run@127-191","callee=PIL.Image.open","basic block: 134:17-172:24"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/img2img.py","call function: 31:13-31:48","call in function: load_model_from_config@29-46","callee=torch.load","basic block: 29:28-32:29"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/img2img.py","call function: 50:13-50:28","call in function: load_img@49-58","callee=PIL.Image.open","basic block: 49:14-58:26"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/models/diffusion/ddpm.py","call function: 209:14-209:49","call in function: init_from_ckpt@208-268","callee=torch.load","basic block: 208:24-210:42"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/models/diffusion/ddpm.py","call function: 1526:14-1526:49","call in function: init_from_ckpt@1525-1554","callee=torch.load","basic block: 1525:24-1527:42"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/encoders/modules.py","call function: 326:35-326:81","call in function: __init__@321-329","callee=torch.load","basic block: 326:35-326:31"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/karlo/kakao/models/prior_model.py","call function: 63:16-63:56","call in function: load_from_checkpoint@60-67","callee=torch.load","basic block: 61:9-67:20"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/karlo/kakao/models/sr_64_256.py","call function: 60:16-60:56","call in function: load_from_checkpoint@59-64","callee=torch.load","basic block: 59:30-64:20"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/superresolution.py","call function: 24:27-24:42","call in function: initialize_model@21-29","callee=torch.load","basic block: 21:22-26:62"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/superresolution.py","call function: 123:17-123:33","call in function: run@116-166","callee=PIL.Image.open","basic block: 123:17-141:60"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/tests/test_watermark.py","call function: 7:11-7:30","call in function: testit@6-14","callee=cv2.imread","basic block: 6:12-11:30"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/gradio/superresolution.py","call function: 23:27-23:42","call in function: initialize_model@20-29","callee=torch.load","basic block: 20:22-26:44"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/karlo/kakao/template.py","call function: 96:31-98:9","call in function: load_prior@87-112","callee=torch.load","basic block: 88:9-112:19"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/txt2img.py","call function: 30:13-30:48","call in function: load_model_from_config@28-51","callee=torch.load","basic block: 28:28-31:29"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/midas/utils.py","call function: 106:11-106:26","call in function: read_image@97-113","callee=cv2.imread","basic block: 97:16-108:20"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/stableunclip.py","call function: 51:17-51:33","call in function: get_interactive_image@48-54","callee=PIL.Image.open","basic block: 51:17-52:34"
"path: /home/sixsquare/codeQL/projects/stablediffusion/scripts/streamlit/stableunclip.py","call function: 244:13-244:48","call in function: load_model_from_config@242-269","callee=torch.load","basic block: 242:28-246:29"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/image_degradation/utils_image.py","call function: 189:15-189:33","call in function: imread_uint@185-197","callee=cv2.imread","basic block: 189:15-190:11"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/image_degradation/utils_image.py","call function: 192:15-192:52","call in function: imread_uint@185-197","callee=cv2.imread","basic block: 192:15-193:24"
"path: /home/sixsquare/codeQL/projects/stablediffusion/ldm/modules/image_degradation/utils_image.py","call function: 223:11-223:48","call in function: read_img@220-230","callee=cv2.imread","basic block: 220:14-225:20"
