"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/runtime/caching/cache_utils.py","call function: 451:19-451:59","call in function: _make_value_key@416-480","callee=hashlib.new","basic block: 451:19-452:40"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/runtime/caching/cache_utils.py","call function: 489:19-489:59","call in function: _make_function_key@483-521","callee=hashlib.new","basic block: 483:24-508:29"
"path: /home/sixsquare/codeQL/projects/streamlit/e2e_playwright/conftest.py","call function: 178:19-178:54","call in function: hash_to_range@173-179","callee=hashlib.sha256","basic block: 174:5-179:57"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/runtime/caching/hashing.py","call function: 356:13-356:53","call in function: _to_bytes@349-652","callee=hashlib.new","basic block: 349:19-358:55"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/tests/streamlit/runtime/caching/hashing_test.py","call function: 57:14-57:54","call in function: get_hash@56-61","callee=hashlib.new","basic block: 56:14-59:44"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/runtime/memory_media_file_storage.py","call function: 57:16-57:59","call in function: _calculate_file_id@45-64","callee=hashlib.new","basic block: 45:24-61:27"
"path: /home/sixsquare/codeQL/projects/streamlit/e2e_playwright/shared/oidc_mock_server.py","call function: 66:63-66:77","call in function: generate_token@52-70","callee=cryptography.hazmat.primitives.hashes.SHA256","basic block: 52:20-70:71"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/web/server/server.py","call function: 209:19-209:69","call in function: _get_ssl_options@189-225","callee=ssl.create_default_context","basic block: 207:16-214:35"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/util.py","call function: 72:9-72:49","call in function: calc_md5@66-77","callee=hashlib.new","basic block: 66:14-74:47"
"path: /home/sixsquare/codeQL/projects/streamlit/lib/streamlit/elements/lib/utils.py","call function: 169:9-169:49","call in function: _compute_element_id@153-182","callee=hashlib.new","basic block: 154:5-171:15"
