"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/extensions/superboogav2/api.py","call function: 91:20-91:78","call in function: do_POST@88-139","callee=json.loads","basic block: 91:20-91:78"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/download-model.py","call function: 98:20-98:38","call in function: get_download_links_from_huggingface@78-183","callee=json.loads","basic block: 93:38-99:29"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/exllamav2.py","call function: 203:40-203:72","call in function: generate_with_streaming@156-240","callee=json.loads","basic block: 203:40-209:42"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1193:16-1193:39","call in function: find_all_histories_with_first_prompts@1176-1217","callee=json.loads","basic block: 1193:16-1194:71"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1293:24-1293:43","call in function: load_last_chat_state@1287-1297","callee=json.loads","basic block: 1293:24-1293:43"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1321:9-1321:40","call in function: load_history@1315-1340","callee=json.loads","basic block: 1321:9-1322:22"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1346:13-1346:28","call in function: load_history_json@1343-1367","callee=json.loads","basic block: 1346:24-1346:28"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1414:12-1414:36","call in function: load_character@1398-1442","callee=json.loads","basic block: 1414:12-1414:36"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1414:66-1414:94","call in function: load_character@1398-1442","callee=yaml.safe_load","basic block: 1414:66-1414:94"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1493:12-1493:40","call in function: load_instruction_template@1482-1497","callee=yaml.safe_load","basic block: 1488:13-1494:37"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1513:16-1513:39","call in function: upload_character@1510-1539","callee=json.loads","basic block: 1513:27-1513:39"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1515:16-1515:43","call in function: upload_character@1510-1539","callee=yaml.safe_load","basic block: 1514:5-1515:12"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/chat.py","call function: 1567:13-1567:38","call in function: check_tavern_character@1562-1571","callee=json.loads","basic block: 1566:22-1568:22"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/llama_cpp_server.py","call function: 102:33-102:65","call in function: prepare_payload@69-132","callee=json.loads","basic block: 102:33-106:36"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/llama_cpp_server.py","call function: 223:28-223:43","call in function: generate_with_streaming@155-240","callee=json.loads","basic block: 223:39-223:43"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/models_settings.py","call function: 42:23-42:74","call in function: get_model_metadata@29-198","callee=json.loads","basic block: 42:23-46:37"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/models_settings.py","call function: 103:24-103:75","call in function: get_model_metadata@29-198","callee=json.loads","basic block: 103:24-104:46"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/models_settings.py","call function: 153:20-153:71","call in function: get_model_metadata@29-198","callee=json.loads","basic block: 153:20-156:27"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/presets.py","call function: 70:26-70:47","call in function: load_preset@64-81","callee=yaml.safe_load","basic block: 69:18-72:27"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/one_click.py","call function: 278:14-278:29","call in function: get_user_choice@268-283","callee=input","basic block: 276:5-278:10"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/one_click.py","call function: 281:18-281:33","call in function: get_user_choice@268-283","callee=input","basic block: 280:9-281:14"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/sampler_hijack.py","call function: 538:36-538:68","call in function: get_logits_processor_patch@482-676","callee=json.loads","basic block: 538:36-552:9"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/shared.py","call function: 351:27-351:54","call in function: load_user_config@343-357","callee=yaml.safe_load","basic block: 351:27-351:23"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/text_generation.py","call function: 62:18-62:44","call in function: _generate_reply@34-108","callee=ast.literal_eval","basic block: 62:18-62:14"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/transformers_loader.py","call function: 222:47-222:88","call in function: load_model_HF@133-260","callee=eval","basic block: 222:47-222:88"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/modules/ui.py","call function: 360:41-360:64","call in function: save_settings@322-378","callee=yaml.safe_load","basic block: 360:41-360:64"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/extensions/openai/utils.py","call function: 115:30-115:50","call in function: parseToolCall@86-148","callee=json.loads","basic block: 115:41-115:50"
"path: /home/sixsquare/codeQL/projects/text-generation-webui/extensions/openai/utils.py","call function: 137:30-137:50","call in function: parseToolCall@86-148","callee=json.loads","basic block: 137:41-137:50"
