"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/rules/apt_invalid_operation.py","call function: 43:12-45:51","call in function: _get_operations@42-51","callee=subprocess.Popen","basic block: 42:21-48:19"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/specific/archlinux.py","call function: 21:20-24:9","call in function: get_pkgfile@7-31","callee=subprocess.check_output","basic block: 23:38-24:9"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/specific/brew.py","call function: 12:16-13:63","call in function: get_brew_path_prefix@9-15","callee=subprocess.check_output","basic block: 12:41-13:63"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/shells/bash.py","call function: 90:16-91:49","call in function: _get_version@88-92","callee=subprocess.Popen","basic block: 88:22-92:57"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/rules/dnf_no_such_command.py","call function: 23:12-25:51","call in function: _get_operations@22-28","callee=subprocess.Popen","basic block: 23:12-28:35"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/rules/docker_not_command.py","call function: 22:12-22:85","call in function: get_docker_commands@21-34","callee=subprocess.Popen","basic block: 22:12-25:35"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/rules/gem_unknown_command.py","call function: 19:12-20:51","call in function: _get_all_commands@18-26","callee=subprocess.Popen","basic block: 19:12-22:39"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/shells/fish.py","call function: 15:12-15:75","call in function: _get_functions@14-17","callee=subprocess.Popen","basic block: 14:20-17:71"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/shells/fish.py","call function: 23:12-23:71","call in function: _get_aliases@21-37","callee=subprocess.Popen","basic block: 21:18-25:20"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/shells/fish.py","call function: 111:16-111:72","call in function: _get_version@109-112","callee=subprocess.Popen","basic block: 109:22-112:61"
"path: /home/sixsquare/codeQL/projects/thefuck/thefuck/rules/git_checkout.py","call function: 16:12-18:31","call in function: get_branches@15-27","callee=subprocess.Popen","basic block: 16:12-19:39"
