"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/export/__init__.py","call function: 232:44-232:66","call in function: onnx2engine@52-239","callee=open","basic block: 231:13-234:31"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/cfg/__init__.py","call function: 418:12-418:35","call in function: get_save_dir@389-418","callee=pathlib.Path.resolve","basic block: 418:12-418:35"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/cfg/__init__.py","call function: 1023:5-1023:44","call in function: copy_default_cfg@1001-1027","callee=shutil.copy2","basic block: 1002:5-1027:5"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/annotator.py","call function: 51:5-51:55","call in function: auto_annotate@10-67","callee=pathlib.Path.mkdir","basic block: 51:5-57:29"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/annotator.py","call function: 63:18-63:96","call in function: auto_annotate@10-67","callee=open","basic block: 59:21-64:47"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 580:14-580:63","call in function: save@556-583","callee=open","basic block: 580:14-581:21"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 601:14-601:58","call in function: load@586-618","callee=open","basic block: 598:9-606:32"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 663:14-663:36","call in function: is_ubuntu@655-666","callee=open","basic block: 656:5-663:36"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 721:16-721:44","call in function: is_docker@713-723","callee=os.path.exists","basic block: 721:31-721:44"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 750:27-750:55","call in function: is_jetson@737-755","callee=open","basic block: 749:13-750:55"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 806:12-806:44","call in function: is_dir_writeable@796-806","callee=os.access","basic block: 796:22-806:44"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 852:18-852:40","call in function: get_ubuntu_version@843-855","callee=open","basic block: 851:9-852:40"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 869:13-869:38","call in function: get_user_config_dir@858-899","callee=pathlib.Path.expanduser","basic block: 869:13-869:9"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 1220:16-1220:38","call in function: _load@1217-1226","callee=pathlib.Path.exists","basic block: 1220:16-1220:38"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 1221:22-1221:41","call in function: _load@1217-1226","callee=open","basic block: 1221:22-1221:41"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 1232:18-1232:60","call in function: _save@1228-1235","callee=open","basic block: 1232:39-1232:60"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 1309:25-1309:103","call in function: __init__@1301-1348","callee=pathlib.Path.resolve","basic block: 1309:26-1344:37"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/__init__.py","call function: 1344:20-1344:37","call in function: __init__@1301-1348","callee=pathlib.Path.exists","basic block: 1309:26-1344:37"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 259:26-259:47","call in function: __init__@137-606","callee=pathlib.Path.glob","basic block: 256:17-266:23"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 303:20-303:30","call in function: __init__@137-606","callee=pathlib.Path.is_file","basic block: 302:17-303:30"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 304:26-304:40","call in function: __init__@137-606","callee=pathlib.Path.glob","basic block: 304:21-304:17"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 347:18-347:30","call in function: __init__@137-606","callee=open","basic block: 344:23-349:45"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 434:18-434:30","call in function: __init__@137-606","callee=open","basic block: 422:13-438:36"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 438:33-438:49","call in function: __init__@137-606","callee=pathlib.Path.resolve","basic block: 438:33-438:49"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 470:28-470:40","call in function: __init__@137-606","callee=zipfile.ZipFile.namelist","basic block: 470:28-470:40"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 497:16-497:25","call in function: __init__@137-606","callee=pathlib.Path.is_dir","basic block: 487:17-497:25"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 498:35-498:51","call in function: __init__@137-606","callee=pathlib.Path.rglob","basic block: 498:30-499:27"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 499:36-499:57","call in function: __init__@137-606","callee=pathlib.Path.rglob","basic block: 498:30-499:27"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 504:77-504:97","call in function: __init__@137-606","callee=pathlib.Path.is_file","basic block: 504:77-504:97"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 541:20-541:30","call in function: __init__@137-606","callee=pathlib.Path.is_file","basic block: 535:32-541:30"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 542:26-542:42","call in function: __init__@137-606","callee=pathlib.Path.glob","basic block: 542:21-542:17"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 564:20-564:30","call in function: __init__@137-606","callee=pathlib.Path.is_file","basic block: 559:13-564:30"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 565:26-565:42","call in function: __init__@137-606","callee=pathlib.Path.rglob","basic block: 565:21-565:17"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/nn/autobackend.py","call function: 581:50-581:72","call in function: __init__@137-606","callee=pathlib.Path.exists","basic block: 581:50-581:72"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 167:20-167:29","call in function: get_img_files@150-186","callee=pathlib.Path.is_dir","basic block: 167:20-167:29"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 168:26-168:73","call in function: get_img_files@150-186","callee=glob.glob","basic block: 168:69-168:73"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 170:22-170:32","call in function: get_img_files@150-186","callee=pathlib.Path.is_file","basic block: 170:22-170:32"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 171:26-171:50","call in function: get_img_files@150-186","callee=open","basic block: 171:26-171:50"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 235:21-235:52","call in function: load_image@212-264","callee=pathlib.Path.unlink","basic block: 233:17-236:22"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/data/base.py","call function: 308:20-308:59","call in function: check_cache_disk@288-322","callee=os.access","basic block: 307:13-308:59"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 211:10-211:71","call in function: benchmark@53-219","callee=open","basic block: 201:5-214:14"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 281:58-281:81","call in function: parse_dataset@265-300","callee=os.path.exists","basic block: 265:23-281:81"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 281:10-281:32","call in function: parse_dataset@265-300","callee=shutil.rmtree","basic block: 281:10-281:52"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 281:35-281:52","call in function: parse_dataset@265-300","callee=os.mkdir","basic block: 281:10-281:52"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 281:88-281:105","call in function: parse_dataset@265-300","callee=os.mkdir","basic block: 281:88-281:105"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 282:9-282:26","call in function: parse_dataset@265-300","callee=os.chdir","basic block: 281:9-287:28"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 283:9-283:42","call in function: parse_dataset@265-300","callee=os.mkdir","basic block: 281:9-287:28"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 286:14-286:48","call in function: parse_dataset@265-300","callee=open","basic block: 281:9-287:28"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 292:28-292:54","call in function: parse_dataset@265-300","callee=pathlib.Path.exists","basic block: 292:28-292:54"
"path: /home/sixsquare/codeQL/projects/ultralytics/ultralytics/utils/benchmarks.py","call function: 330:14-330:49","call in function: evaluate@310-365","callee=open","basic block: 310:18-333:29"
