"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/aime_eval.py","call function: 68:14-68:59","call in function: download_and_combine_aime_datasets@18-83","callee=open","basic block: 68:14-69:39"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/aime_eval.py","call function: 93:10-93:46","call in function: load_aime_dataset@86-132","callee=open","basic block: 86:23-94:42"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/aime_eval.py","call function: 376:10-376:46","call in function: evaluate_model_aime@185-425","callee=open","basic block: 371:30-390:45"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/aime_eval.py","call function: 491:10-491:48","call in function: compare_aime_results@429-495","callee=open","basic block: 487:9-495:73"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/import_fixes.py","call function: 73:22-73:60","call in function: fix_xformers_performance_issue@64-88","callee=open","basic block: 73:22-73:60"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/import_fixes.py","call function: 101:22-101:64","call in function: fix_vllm_aimv2_issue@92-126","callee=open","basic block: 101:22-101:64"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/models/loader.py","call function: 802:53-802:73","call in function: from_pretrained@511-964","callee=open","basic block: 802:26-802:22"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/ocr_eval.py","call function: 225:14-225:53","call in function: _save_individual_result@213-230","callee=open","basic block: 214:9-230:68"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/utils/ocr_eval.py","call function: 251:14-251:67","call in function: _generate_summary_report@232-264","callee=open","basic block: 244:14-258:18"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/models/llama.py","call function: 1941:18-1941:79","call in function: from_pretrained@1816-2239","callee=open","basic block: 1941:56-1941:79"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/dataprep/synthetic.py","call function: 346:14-346:52","call in function: chunk_data@336-371","callee=open","basic block: 346:14-349:26"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/dataprep/synthetic.py","call function: 369:18-369:60","call in function: chunk_data@336-371","callee=open","basic block: 365:13-369:88"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/dataprep/synthetic.py","call function: 411:14-411:76","call in function: prepare_qa_generation@374-413","callee=open","basic block: 394:9-413:20"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 1200:14-1200:41","call in function: save_to_gguf@952-1317","callee=open","basic block: 1190:5-1230:45"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 1230:18-1230:45","call in function: save_to_gguf@952-1317","callee=open","basic block: 1190:5-1230:45"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 1569:18-1569:80","call in function: upload_to_huggingface@1495-1582","callee=open","basic block: 1568:20-1579:55"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 1747:10-1747:65","call in function: push_to_ollama@1735-1764","callee=open","basic block: 1736:5-1764:42"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 1909:14-1909:62","call in function: unsloth_save_pretrained_gguf@1768-1947","callee=open","basic block: 1908:30-1912:73"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/save.py","call function: 2087:14-2087:62","call in function: unsloth_push_to_hub_gguf@1951-2124","callee=open","basic block: 2086:30-2090:73"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/test_unsloth_save.py","call function: 104:11-104:28","call in function: temp_save_dir@103-108","callee=tempfile.mkdtemp","basic block: 104:11-108:22"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/test_unsloth_save.py","call function: 146:10-146:31","call in function: test_save_merged_16bit@124-162","callee=open","basic block: 145:19-149:46"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/test_unsloth_save.py","call function: 194:10-194:31","call in function: test_save_merged_4bit@164-205","callee=open","basic block: 190:5-197:42"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/test_unsloth_save.py","call function: 246:10-246:31","call in function: test_save_torchao@208-261","callee=open","basic block: 242:5-249:42"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/language_models/test_save_merged_grpo_model.py","call function: 411:14-411:61","call in function: training_run@75-703","callee=open","basic block: 407:13-415:89"
"path: /home/sixsquare/codeQL/projects/unsloth/tests/saving/language_models/test_save_merged_grpo_model.py","call function: 411:14-411:61","call in function: compare_model_results@371-415","callee=open","basic block: 407:13-415:89"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/tokenizer_utils.py","call function: 363:36-363:86","call in function: fix_sentencepiece_tokenizer@340-399","callee=open","basic block: 357:5-369:53"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/tokenizer_utils.py","call function: 388:10-388:60","call in function: fix_sentencepiece_tokenizer@340-399","callee=open","basic block: 385:5-399:20"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/tokenizer_utils.py","call function: 426:36-426:82","call in function: fix_sentencepiece_gguf@403-467","callee=open","basic block: 426:5-430:64"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/tokenizer_utils.py","call function: 431:10-431:77","call in function: fix_sentencepiece_gguf@403-467","callee=open","basic block: 431:10-434:34"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/tokenizer_utils.py","call function: 460:10-460:56","call in function: fix_sentencepiece_gguf@403-467","callee=open","basic block: 456:5-467:10"
"path: /home/sixsquare/codeQL/projects/unsloth/unsloth/kernels/moe/benchmark/utils.py","call function: 186:14-186:33","call in function: save_autotune_results@172-192","callee=open","basic block: 179:9-192:32"
