"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/apertus.py","call function: 466:20-466:41","call in function: load_weights@409-477","callee=str.endswith","basic block: 466:20-466:41"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/arcee.py","call function: 327:16-327:37","call in function: load_weights@266-339","callee=str.endswith","basic block: 327:16-327:37"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 894:8-894:32","call in function: split_host_port@892-901","callee=str.startswith","basic block: 892:21-894:32"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 1725:26-1725:58","call in function: _split_lines@1718-1729","callee=regex.compile","basic block: 1718:22-1729:70"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 1726:29-1726:52","call in function: _split_lines@1718-1729","callee=regex.compile","basic block: 1718:22-1729:70"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 1728:17-1728:49","call in function: _split_lines@1718-1729","callee=regex.split","basic block: 1718:22-1729:70"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 1830:19-1830:46","call in function: parse_args@1804-1933","callee=regex.compile","basic block: 1825:25-1834:37"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 2350:13-2350:40","call in function: get_vllm_optional_dependencies@2343-2354","callee=regex.split","basic block: 2350:13-2350:43"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 2350:13-2350:40","call in function: dictcomp@2348-2352","callee=regex.split","basic block: 2350:13-2350:43"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 2350:13-2350:40","call in function: listcomp@2349-2350","callee=regex.split","basic block: 2350:13-2350:43"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/config/__init__.py","call function: 156:21-156:49","call in function: try_match_architecture_defaults@146-159","callee=str.endswith","basic block: 156:21-156:49"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/config/__init__.py","call function: 3112:13-3112:36","call in function: contains_object_print@3098-3113","callee=regex.search","basic block: 3098:27-3113:28"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/arctic.py","call function: 165:12-165:44","call in function: weight_loader@159-173","callee=str.endswith","basic block: 162:22-165:44"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/arctic.py","call function: 167:12-167:44","call in function: weight_loader@159-173","callee=str.endswith","basic block: 167:12-167:44"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/arctic.py","call function: 170:12-170:44","call in function: weight_loader@159-173","callee=str.endswith","basic block: 170:12-170:44"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/aria.py","call function: 508:12-508:39","call in function: get_placeholder_str@507-511","callee=str.startswith","basic block: 507:29-508:39"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/entrypoints/openai/api_server.py","call function: 274:32-274:67","call in function: mount_metrics@249-275","callee=regex.compile","basic block: 249:19-275:36"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/engine/arg_utils.py","call function: 95:12-95:45","call in function: union_dict_and_str@94-97","callee=regex.match","basic block: 94:24-95:45"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/engine/arg_utils.py","call function: 1884:13-1884:63","call in function: human_readable_int@1874-1912","callee=regex.fullmatch","basic block: 1874:24-1885:12"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/aya_vision.py","call function: 313:12-313:39","call in function: get_placeholder_str@312-316","callee=str.startswith","basic block: 312:29-313:39"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/v1/structured_output/backend_outlines.py","call function: 73:24-73:38","call in function: compile_grammar@65-85","callee=regex.escape","basic block: 73:44-73:38"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/v1/structured_output/backend_outlines.py","call function: 73:24-73:38","call in function: listcomp@73-73","callee=regex.escape","basic block: 73:44-73:38"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/v1/structured_output/backend_outlines.py","call function: 186:20-186:44","call in function: validate_structured_output_request_outlines@160-191","callee=regex.escape","basic block: 186:50-186:44"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/v1/structured_output/backend_outlines.py","call function: 186:20-186:44","call in function: listcomp@186-186","callee=regex.escape","basic block: 186:50-186:44"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 204:8-204:30","call in function: remove_prefix@203-206","callee=str.startswith","basic block: 203:19-204:30"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/benchmark_serving_structured_output.py","call function: 683:22-683:49","call in function: evaluate@676-720","callee=regex.search","basic block: 683:32-683:49"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/benchmark_serving_structured_output.py","call function: 683:22-683:49","call in function: _eval_correctness_json@677-688","callee=regex.search","basic block: 683:32-683:49"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/benchmark_serving_structured_output.py","call function: 696:16-696:43","call in function: evaluate@676-720","callee=regex.match","basic block: 693:33-696:55"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/benchmark_serving_structured_output.py","call function: 696:16-696:43","call in function: _eval_correctness_regex@693-696","callee=regex.match","basic block: 693:33-696:55"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/bert_with_rope.py","call function: 274:12-274:37","call in function: weight_loader@262-286","callee=str.endswith","basic block: 263:9-274:37"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/bert_with_rope.py","call function: 280:12-280:37","call in function: weight_loader@262-286","callee=str.endswith","basic block: 280:12-280:37"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/model_loader/bitsandbytes_loader.py","call function: 161:46-162:29","call in function: _hf_weight_iter@155-184","callee=str.startswith","basic block: 161:46-162:29"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/model_loader/bitsandbytes_loader.py","call function: 161:46-162:29","call in function: _maybe_pool_model@157-165","callee=str.startswith","basic block: 161:46-162:29"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/blip2.py","call function: 521:12-521:39","call in function: get_placeholder_str@520-524","callee=str.startswith","basic block: 520:29-521:39"
"path: /home/sixsquare/codeQL/projects/vllm/tools/check_triton_import.py","call function: 43:21-43:47","call in function: parse_diff@30-53","callee=regex.search","basic block: 43:21-44:20"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/model_executor/models/chameleon.py","call function: 946:12-946:39","call in function: get_placeholder_str@945-949","callee=str.startswith","basic block: 945:29-946:39"
