"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/vllm/examples/online_serving/api_client.py","call function: 38:16-38:81","call in function: post_http_request@27-39","callee=requests.post","basic block: 28:5-39:19"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 834:9-834:34","call in function: get_ip@817-854","callee=socket.socket.connect","basic block: 834:20-834:34"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 844:9-844:47","call in function: get_ip@817-854","callee=socket.socket.connect","basic block: 844:20-844:47"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/utils/__init__.py","call function: 2838:14-2838:27","call in function: split_zmq_path@2836-2854","callee=urllib.parse.urlparse","basic block: 2836:20-2839:24"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/assets/audio.py","call function: 45:16-45:74","call in function: url@44-45","callee=urllib.parse.urljoin","basic block: 44:13-45:74"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 89:24-91:13","call in function: async_request_tgi@53-131","callee=aiohttp.ClientSession.post","basic block: 90:21-91:13"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 164:24-166:13","call in function: async_request_trt_llm@134-202","callee=aiohttp.ClientSession.post","basic block: 165:21-166:13"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 238:24-240:13","call in function: async_request_deepspeed_mii@205-265","callee=aiohttp.ClientSession.post","basic block: 239:21-240:13"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 309:24-311:13","call in function: async_request_openai_completions@268-365","callee=aiohttp.ClientSession.post","basic block: 310:21-311:13"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 424:24-426:13","call in function: async_request_openai_chat_completions@368-474","callee=aiohttp.ClientSession.post","basic block: 425:21-426:13"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/backend_request_func.py","call function: 538:28-540:17","call in function: async_request_openai_audio@477-586","callee=aiohttp.ClientSession.post","basic block: 539:25-540:17"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 250:15-250:54","call in function: send_request@217-332","callee=aiohttp.ClientTimeout","basic block: 243:16-266:39"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 250:15-250:54","call in function: send_request@217-332","callee=aiohttp.ClientTimeout","basic block: 241:33-266:39"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 262:16-264:5","call in function: send_request@217-332","callee=aiohttp.ClientSession.post","basic block: 243:16-266:39"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 262:16-264:5","call in function: send_request@217-332","callee=aiohttp.ClientSession.post","basic block: 241:33-266:39"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 1200:20-1200:43","call in function: get_server_info@1195-1220","callee=aiohttp.ClientSession.get","basic block: 1195:27-1201:59"
"path: /home/sixsquare/codeQL/projects/vllm/benchmarks/multi_turn/benchmark_serving_multi_turn.py","call function: 1207:20-1207:42","call in function: get_server_info@1195-1220","callee=aiohttp.ClientSession.get","basic block: 1206:22-1208:59"
"path: /home/sixsquare/codeQL/projects/vllm/.buildkite/nightly-benchmarks/scripts/compare-json-results.py","call function: 35:22-35:54","call in function: compare_data_columns@13-130","callee=pandas.read_json","basic block: 35:35-35:54"
"path: /home/sixsquare/codeQL/projects/vllm/.buildkite/nightly-benchmarks/scripts/compare-json-results.py","call function: 53:14-53:49","call in function: compare_data_columns@13-130","callee=pandas.read_json","basic block: 52:9-56:36"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/connections.py","call function: 28:33-28:50","call in function: get_sync_client@26-30","callee=requests.Session","basic block: 28:33-28:29"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/connections.py","call function: 41:22-41:34","call in function: _validate_http_url@40-45","callee=urllib.parse.urlparse","basic block: 40:28-43:53"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/connections.py","call function: 63:16-66:42","call in function: get_response@50-66","callee=requests.Session.get","basic block: 61:9-66:42"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/benchmarks/datasets.py","call function: 1612:26-1613:49","call in function: load_data@1599-1630","callee=pandas.read_json","basic block: 1612:26-1616:49"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/benchmarks/datasets.py","call function: 1708:22-1709:47","call in function: load_data@1701-1722","callee=pandas.read_json","basic block: 1705:21-1712:44"
"path: /home/sixsquare/codeQL/projects/vllm/vllm/benchmarks/datasets.py","call function: 1838:14-1838:43","call in function: load_data@1834-1844","callee=pandas.read_csv","basic block: 1838:14-1844:17"
"path: /home/sixsquare/codeQL/projects/vllm/examples/others/lmcache/disagg_prefill_lmcache_v1/disagg_proxy_server.py","call function: 28:32-30:5","call in function: lifespan@16-37","callee=httpx.AsyncClient","basic block: 16:20-37:42"
"path: /home/sixsquare/codeQL/projects/vllm/examples/others/lmcache/disagg_prefill_lmcache_v1/disagg_proxy_server.py","call function: 31:31-31:88","call in function: lifespan@16-37","callee=httpx.AsyncClient","basic block: 16:20-37:42"
"path: /home/sixsquare/codeQL/projects/vllm/examples/others/lmcache/disagg_prefill_lmcache_v1/disagg_proxy_server.py","call function: 118:16-120:5","call in function: stream_service_response@111-123","callee=httpx.AsyncClient.stream","basic block: 112:5-122:49"
"path: /home/sixsquare/codeQL/projects/vllm/examples/online_serving/disaggregated_serving/disagg_proxy_demo.py","call function: 118:28-118:42","call in function: validate_instance@113-143","callee=aiohttp.ClientSession.get","basic block: 118:39-118:42"
"path: /home/sixsquare/codeQL/projects/vllm/examples/online_serving/disaggregated_serving/disagg_proxy_demo.py","call function: 158:21-158:46","call in function: add_instance_endpoint@145-197","callee=ipaddress.ip_address","basic block: 158:42-158:46"
