"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 55:5-55:36","call in function: _download@54-95","callee=os.makedirs","basic block: 54:15-60:38"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 58:23-58:63","call in function: _download@54-95","callee=os.path.join","basic block: 54:15-60:38"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 58:42-58:62","call in function: _download@54-95","callee=os.path.basename","basic block: 54:15-60:38"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 60:8-60:38","call in function: _download@54-95","callee=os.path.exists","basic block: 54:15-60:38"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 60:48-60:78","call in function: _download@54-95","callee=os.path.isfile","basic block: 60:48-60:78"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 63:8-63:38","call in function: _download@54-95","callee=os.path.isfile","basic block: 63:8-63:38"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 64:14-64:40","call in function: _download@54-95","callee=open","basic block: 64:14-66:69"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 73:49-73:75","call in function: _download@54-95","callee=open","basic block: 73:10-80:17"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 89:19-89:45","call in function: _download@54-95","callee=open","basic block: 84:21-90:65"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 133:19-133:65","call in function: load_model@103-161","callee=os.path.join","basic block: 133:19-134:21"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 133:32-133:54","call in function: load_model@103-161","callee=os.path.expanduser","basic block: 133:19-134:21"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 134:25-134:85","call in function: load_model@103-161","callee=os.path.join","basic block: 133:19-134:21"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 139:10-139:29","call in function: load_model@103-161","callee=os.path.isfile","basic block: 139:10-139:29"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 140:27-140:42","call in function: load_model@103-161","callee=open","basic block: 140:27-140:49"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/__init__.py","call function: 148:55-148:81","call in function: load_model@103-161","callee=open","basic block: 148:55-148:81"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/audio.py","call function: 105:20-105:87","call in function: mel_filters@92-107","callee=os.path.join","basic block: 103:5-107:62"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/audio.py","call function: 105:33-105:57","call in function: mel_filters@92-107","callee=os.path.dirname","basic block: 103:5-107:62"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/normalizers/english.py","call function: 458:24-458:78","call in function: __init__@457-459","callee=os.path.join","basic block: 457:18-459:20"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/normalizers/english.py","call function: 458:37-458:61","call in function: __init__@457-459","callee=os.path.dirname","basic block: 457:18-459:20"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/normalizers/english.py","call function: 459:34-459:51","call in function: __init__@457-459","callee=open","basic block: 457:18-459:20"
"path: /home/sixsquare/codeQL/projects/whisper/tests/test_audio.py","call function: 9:18-9:68","call in function: test_audio@8-19","callee=os.path.join","basic block: 9:18-11:26"
"path: /home/sixsquare/codeQL/projects/whisper/tests/test_audio.py","call function: 9:31-9:55","call in function: test_audio@8-19","callee=os.path.dirname","basic block: 9:18-11:26"
"path: /home/sixsquare/codeQL/projects/whisper/tests/test_transcribe.py","call function: 14:18-14:68","call in function: test_transcribe@11-42","callee=os.path.join","basic block: 12:14-16:49"
"path: /home/sixsquare/codeQL/projects/whisper/tests/test_transcribe.py","call function: 14:31-14:55","call in function: test_transcribe@11-42","callee=os.path.dirname","basic block: 12:14-16:49"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/utils.py","call function: 94:26-94:53","call in function: __call__@91-101","callee=os.path.basename","basic block: 92:9-101:72"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/utils.py","call function: 95:26-95:57","call in function: __call__@91-101","callee=os.path.splitext","basic block: 92:9-101:72"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/utils.py","call function: 96:23-98:9","call in function: __call__@91-101","callee=os.path.join","basic block: 92:9-101:72"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/utils.py","call function: 100:14-100:53","call in function: __call__@91-101","callee=open","basic block: 92:9-101:72"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/tokenizer.py","call function: 332:18-332:86","call in function: get_encoding@331-363","callee=os.path.join","basic block: 331:18-353:25"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/tokenizer.py","call function: 332:31-332:55","call in function: get_encoding@331-363","callee=os.path.dirname","basic block: 331:18-353:25"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/tokenizer.py","call function: 335:54-335:69","call in function: get_encoding@331-363","callee=open","basic block: 331:18-353:25"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/tokenizer.py","call function: 358:14-358:41","call in function: get_encoding@331-363","callee=os.path.basename","basic block: 357:12-363:5"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/transcribe.py","call function: 521:42-521:61","call in function: cli@517-619","callee=os.path.exists","basic block: 521:42-521:61"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/transcribe.py","call function: 521:42-521:61","call in function: valid_model_name@520-525","callee=os.path.exists","basic block: 521:42-521:61"
"path: /home/sixsquare/codeQL/projects/whisper/whisper/transcribe.py","call function: 575:5-575:42","call in function: cli@517-619","callee=os.makedirs","basic block: 532:45-577:33"
