"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 52:31-52:45","call in function: __call__@50-55","callee=random.random","basic block: 52:31-52:49"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 269:8-269:22","call in function: cutout@263-291","callee=random.random","basic block: 263:12-269:26"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 273:22-273:50","call in function: cutout@263-291","callee=random.randint","basic block: 272:13-286:26"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 274:22-274:50","call in function: cutout@263-291","callee=random.randint","basic block: 272:13-286:26"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 277:27-277:46","call in function: cutout@263-291","callee=random.randint","basic block: 272:13-286:26"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 278:27-278:46","call in function: cutout@263-291","callee=random.randint","basic block: 272:13-286:26"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 283:41-283:63","call in function: cutout@263-291","callee=random.randint","basic block: 283:69-283:63"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/augmentations.py","call function: 283:41-283:63","call in function: listcomp@283-283","callee=random.randint","basic block: 283:69-283:63"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/autoanchor.py","call function: 166:42-166:56","call in function: kmean_anchors@66-175","callee=random.random","basic block: 166:19-166:13"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/segment/dataloaders.py","call function: 135:38-135:52","call in function: __getitem__@130-235","callee=random.random","basic block: 135:38-135:68"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/segment/dataloaders.py","call function: 141:16-141:30","call in function: __getitem__@130-235","callee=random.random","basic block: 137:37-141:45"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/segment/dataloaders.py","call function: 142:88-142:116","call in function: __getitem__@130-235","callee=random.randint","basic block: 142:41-142:37"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/segment/dataloaders.py","call function: 212:16-212:30","call in function: __getitem__@130-235","callee=random.random","basic block: 205:27-212:46"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/segment/dataloaders.py","call function: 219:16-219:30","call in function: __getitem__@130-235","callee=random.random","basic block: 219:16-219:46"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/dataloaders.py","call function: 777:38-777:52","call in function: __getitem__@772-846","callee=random.random","basic block: 777:38-777:68"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/dataloaders.py","call function: 783:16-783:30","call in function: __getitem__@772-846","callee=random.random","basic block: 779:27-783:45"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/dataloaders.py","call function: 823:16-823:30","call in function: __getitem__@772-846","callee=random.random","basic block: 816:27-823:46"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/dataloaders.py","call function: 829:16-829:30","call in function: __getitem__@772-846","callee=random.random","basic block: 829:16-829:46"
"path: /home/sixsquare/codeQL/projects/yolov5/utils/dataloaders.py","call function: 1040:16-1040:30","call in function: collate_fn4@1029-1054","callee=random.random","basic block: 1038:13-1040:36"
"path: /home/sixsquare/codeQL/projects/yolov5/segment/train.py","call function: 378:22-378:78","call in function: train@100-542","callee=random.randrange","basic block: 378:22-380:26"
"path: /home/sixsquare/codeQL/projects/yolov5/train.py","call function: 407:22-407:78","call in function: train@105-543","callee=random.randrange","basic block: 407:22-409:26"
"path: /home/sixsquare/codeQL/projects/yolov5/train.py","call function: 856:50-856:80","call in function: main@621-888","callee=random.randint","basic block: 855:17-862:56"
"path: /home/sixsquare/codeQL/projects/yolov5/train.py","call function: 857:50-857:80","call in function: main@621-888","callee=random.randint","basic block: 855:17-862:56"
"path: /home/sixsquare/codeQL/projects/yolov5/train.py","call function: 863:39-863:72","call in function: main@621-888","callee=random.randint","basic block: 863:39-864:25"
