"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/bandcamp.py","call function: 9:17-9:86","call in function: bandcamp_download@7-18","callee=json.loads","basic block: 7:23-10:26"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/bigthink.py","call function: 40:21-40:36","call in function: get_streams_by_id@22-49","callee=json.loads","basic block: 22:27-44:37"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 26:25-26:45","call in function: prepare@20-71","callee=json.loads","basic block: 24:20-31:34"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 39:25-39:45","call in function: prepare@20-71","callee=json.loads","basic block: 36:20-43:28"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 50:39-50:82","call in function: prepare@20-71","callee=json.loads","basic block: 49:30-52:23"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 163:30-163:73","call in function: acfun_download@156-208","callee=json.loads","basic block: 163:30-166:41"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 163:30-163:73","call in function: getM3u8UrlFromCurrentVideoInfo@159-168","callee=json.loads","basic block: 163:30-166:41"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 174:25-174:45","call in function: acfun_download@156-208","callee=json.loads","basic block: 172:20-179:34"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/acfun.py","call function: 187:25-187:45","call in function: acfun_download@156-208","callee=json.loads","basic block: 184:20-193:20"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 12:12-13:81","call in function: baidu_get_song_data@11-20","callee=json.loads","basic block: 11:25-15:26"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 79:11-80:69","call in function: baidu_download_album@74-102","callee=json.loads","basic block: 74:26-82:17"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 151:26-151:59","call in function: baidu_download@105-162","callee=json.loads","basic block: 149:13-152:51"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 222:21-222:58","call in function: baidu_pan_download@165-225","callee=json.loads","basic block: 220:5-225:37"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 259:13-259:53","call in function: baidu_pan_protected_share@257-303","callee=input","basic block: 257:31-292:28"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/baidu.py","call function: 291:15-291:38","call in function: baidu_pan_protected_share@257-303","callee=json.loads","basic block: 257:31-292:28"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/cntv.py","call function: 29:25-29:83","call in function: prepare@28-37","callee=json.loads","basic block: 28:17-31:39"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/douban.py","call function: 36:29-36:67","call in function: douban_download@8-61","callee=json.loads","basic block: 36:29-36:67"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/dailymotion.py","call function: 18:12-18:60","call in function: dailymotion_download@13-35","callee=json.loads","basic block: 13:26-19:58"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/coub.py","call function: 83:17-83:37","call in function: get_coub_data@81-84","callee=json.loads","basic block: 81:19-84:20"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/douyin.py","call function: 49:18-49:41","call in function: douyin_download_by_url@40-68","callee=json.loads","basic block: 44:16-63:30"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/douyutv.py","call function: 33:12-33:44","call in function: douyutv_video_download@16-40","callee=json.loads","basic block: 33:12-34:25"
"path: /home/sixsquare/codeQL/projects/you-get/src/you_get/extractors/douyutv.py","call function: 62:20-62:38","call in function: douyutv_download@43-77","callee=json.loads","basic block: 55:15-65:25"
