"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2010:26-2010:76","call in function: process_info@1952-2246","callee=open","basic block: 2010:55-2010:76"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2025:26-2025:76","call in function: process_info@1952-2246","callee=open","basic block: 2025:55-2025:76"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2052:34-2052:102","call in function: process_info@1952-2246","callee=open","basic block: 2052:69-2052:102"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2061:34-2061:73","call in function: process_info@1952-2246","callee=open","basic block: 2061:69-2061:73"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2274:14-2274:50","call in function: download_with_info_file@2273-2285","callee=open","basic block: 2273:33-2277:34"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/YoutubeDL.py","call function: 2716:26-2716:67","call in function: _write_thumbnails@2688-2722","callee=open","basic block: 2716:63-2716:67"
"path: /home/sixsquare/codeQL/projects/youtube-dl/devscripts/bash-completion.py","call function: 26:10-26:58","call in function: build_completion@19-29","callee=open","basic block: 25:16-29:32"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/cache.py","call function: 114:18-114:49","call in function: load@105-129","callee=open","basic block: 112:20-114:49"
"path: /home/sixsquare/codeQL/projects/youtube-dl/devscripts/buildserver.py","call function: 121:10-121:54","call in function: win_service_report_event@120-138","callee=open","basic block: 120:30-125:20"
"path: /home/sixsquare/codeQL/projects/youtube-dl/devscripts/buildserver.py","call function: 307:25-307:50","call in function: __init__@295-310","callee=tempfile.mkdtemp","basic block: 307:25-310:54"
"path: /home/sixsquare/codeQL/projects/youtube-dl/devscripts/buildserver.py","call function: 369:14-369:37","call in function: build@357-372","callee=open","basic block: 363:9-372:44"
"path: /home/sixsquare/codeQL/projects/youtube-dl/devscripts/create-github-release.py","call function: 79:16-79:32","call in function: create_asset@75-83","callee=open","basic block: 75:22-82:48"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/common.py","call function: 791:18-791:37","call in function: _webpage_read_content@766-801","callee=open","basic block: 791:18-792:41"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/compat.py","call function: 2480:45-2480:70","call in function: lambda@2480-2480","callee=open","basic block: 2480:45-2480:70"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/embedthumbnail.py","call function: 49:18-49:49","call in function: run@33-133","callee=open","basic block: 48:21-51:36"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/embedthumbnail.py","call function: 49:18-49:49","call in function: is_webp@48-51","callee=open","basic block: 48:21-51:36"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/downloader/external.py","call function: 119:27-119:86","call in function: _write_cookies@117-125","callee=tempfile.NamedTemporaryFile","basic block: 119:27-122:111"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/ffmpeg.py","call function: 488:18-488:63","call in function: run@430-510","callee=open","basic block: 487:33-493:39"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/ffmpeg.py","call function: 628:22-628:42","call in function: run@598-653","callee=open","basic block: 621:17-640:35"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/ffmpeg.py","call function: 631:22-631:58","call in function: run@598-653","callee=open","basic block: 621:17-640:35"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/postprocessor/ffmpeg.py","call function: 647:18-647:54","call in function: run@598-653","callee=open","basic block: 645:13-648:26"
"path: /home/sixsquare/codeQL/projects/youtube-dl/test/helper.py","call function: 32:10-32:48","call in function: get_params@27-39","callee=open","basic block: 27:16-34:44"
"path: /home/sixsquare/codeQL/projects/youtube-dl/test/helper.py","call function: 35:14-35:58","call in function: get_params@27-39","callee=open","basic block: 35:14-36:44"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 134:19-134:59","call in function: __init__@112-136","callee=tempfile.NamedTemporaryFile","basic block: 133:13-136:33"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 152:14-152:56","call in function: _save_cookies@145-153","callee=open","basic block: 152:14-153:56"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 156:14-156:56","call in function: _load_cookies@155-163","callee=open","basic block: 155:23-158:29"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 205:14-205:53","call in function: get@165-240","callee=open","basic block: 205:14-212:46"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 219:14-219:55","call in function: get@165-240","callee=open","basic block: 219:14-222:27"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/extractor/openload.py","call function: 235:14-235:53","call in function: get@165-240","callee=open","basic block: 235:14-240:42"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/options.py","call function: 45:23-45:72","call in function: _readOptions@43-53","callee=open","basic block: 45:44-45:72"
"path: /home/sixsquare/codeQL/projects/youtube-dl/youtube_dl/options.py","call function: 45:23-45:72","call in function: parseOpts@42-928","callee=open","basic block: 45:44-45:72"
"path: /home/sixsquare/codeQL/projects/youtube-dl/test/test_YoutubeDLCookieJar.py","call function: 20:14-20:54","call in function: test_keep_session_cookies@17-30","callee=tempfile.NamedTemporaryFile","basic block: 17:35-22:26"
