"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/utils/_deprecated.py","call function: 44:9-44:79","call in function: jwt_encode_hs256@35-46","callee=hmac.new","basic block: 42:18-46:65"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/youtube/pot/_director.py","call function: 147:16-147:54","call in function: _generate_key@145-147","callee=hashlib.sha256","basic block: 145:23-147:66"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/youtube/_base.py","call function: 708:19-708:61","call in function: _make_sid_authorization@701-714","callee=hashlib.sha1","basic block: 706:13-711:27"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/youtube/_base.py","call function: 708:19-708:61","call in function: _make_sid_authorization@701-714","callee=hashlib.sha1","basic block: 707:9-711:27"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/abc.py","call function: 291:15-293:42","call in function: _real_extract@282-343","callee=hmac.new","basic block: 289:9-302:48"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/abematv.py","call function: 75:13-78:37","call in function: _get_videokey_from_ticket@57-81","callee=hmac.new","basic block: 62:64-81:58"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/abematv.py","call function: 105:17-105:66","call in function: _generate_aks@94-125","callee=hmac.new","basic block: 103:22-107:15"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/abematv.py","call function: 105:17-105:66","call in function: mix_once@103-107","callee=hmac.new","basic block: 103:22-107:15"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/abematv.py","call function: 145:40-145:51","call in function: _get_device_token@127-158","callee=uuid.uuid4","basic block: 145:36-158:30"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/agora.py","call function: 171:34-171:45","call in function: _real_extract@156-184","callee=uuid.uuid4","basic block: 165:20-184:9"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/adobepass.py","call function: 1482:53-1482:64","call in function: _extract_mvpd_auth@1399-1878","callee=uuid.uuid4","basic block: 1479:37-1532:42"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/adobepass.py","call function: 1580:52-1580:63","call in function: _extract_mvpd_auth@1399-1878","callee=uuid.uuid4","basic block: 1573:21-1597:72"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/anvato.py","call function: 23:12-23:39","call in function: md5_text@22-23","callee=hashlib.md5","basic block: 22:14-23:51"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/utils/_utils.py","call function: 4765:9-4765:79","call in function: jwt_encode@4741-4768","callee=hmac.new","basic block: 4761:18-4768:76"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/utils/_utils.py","call function: 5641:16-5641:32","call in function: _request_dump_filename@5639-5654","callee=hashlib.md5","basic block: 5641:16-5641:12"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/utils/_utils.py","call function: 5645:21-5645:47","call in function: _request_dump_filename@5639-5654","callee=hashlib.md5","basic block: 5645:13-5646:13"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/aws.py","call function: 28:20-28:45","call in function: _aws_execute_api@13-75","callee=hashlib.sha256","basic block: 27:22-28:57"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/aws.py","call function: 28:20-28:45","call in function: aws_hash@27-28","callee=hashlib.sha256","basic block: 27:22-28:57"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/aws.py","call function: 52:20-52:62","call in function: _aws_execute_api@13-75","callee=hmac.new","basic block: 51:22-52:62"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/aws.py","call function: 52:20-52:62","call in function: aws_hmac@51-52","callee=hmac.new","basic block: 51:22-52:62"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/brilliantpala.py","call function: 83:43-83:82","call in function: _real_extract@63-88","callee=hashlib.sha256","basic block: 78:13-85:14"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/downloader/bunnycdn.py","call function: 44:24-44:91","call in function: ping_thread@32-50","callee=hashlib.md5","basic block: 41:13-48:24"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/bilibili.py","call function: 166:27-166:87","call in function: _sign_wbi@159-167","callee=hashlib.md5","basic block: 159:19-167:21"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/bilibili.py","call function: 1851:60-1851:71","call in function: _search_results@1849-1870","callee=uuid.uuid4","basic block: 1851:13-1851:79"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/caracoltv.py","call function: 79:38-79:49","call in function: _perform_login@65-88","callee=uuid.uuid4","basic block: 65:24-73:24"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/cda.py","call function: 159:50-163:27","call in function: _perform_login@124-177","callee=hmac.new","basic block: 159:25-177:42"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/cda.py","call function: 162:31-162:60","call in function: _perform_login@124-177","callee=hashlib.md5","basic block: 159:25-177:42"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/dacast.py","call function: 123:25-124:77","call in function: _real_extract@97-147","callee=hashlib.sha1","basic block: 122:18-125:26"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/dangalplay.py","call function: 122:20-122:49","call in function: _generate_api_data@109-124","callee=hashlib.md5","basic block: 109:28-124:42"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/cookies.py","call function: 1032:12-1032:78","call in function: pbkdf2_sha1@1031-1032","callee=hashlib.pbkdf2_hmac","basic block: 1031:17-1032:78"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/douyutv.py","call function: 43:13-43:24","call in function: _calc_sign@42-49","callee=uuid.uuid4","basic block: 42:20-49:74"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/douyutv.py","call function: 175:26-176:92","call in function: _real_extract@158-214","callee=hashlib.md5","basic block: 171:13-182:51"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/dplay.py","call function: 30:37-30:48","call in function: _get_auth@22-39","callee=uuid.uuid4","basic block: 30:37-30:33"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/drtv.py","call function: 150:33-150:44","call in function: _real_initialize@137-158","callee=uuid.uuid4","basic block: 141:26-157:26"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/extractor/eggs.py","call function: 22:41-22:60","call in function: _real_initialize@21-22","callee=secrets.token_hex","basic block: 21:26-22:37"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/downloader/external.py","call function: 353:27-353:38","call in function: aria2c_rpc@351-369","callee=uuid.uuid4","basic block: 351:20-368:44"
