name,stargazers,clone_url,description
EbookFoundation/free-programming-books,366468,https://github.com/EbookFoundation/free-programming-books.git,:books: Freely available programming books
public-apis/public-apis,363049,https://github.com/public-apis/public-apis.git,A collective list of free APIs
donnemartin/system-design-primer,317743,https://github.com/donnemartin/system-design-primer.git,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
vinta/awesome-python,256912,https://github.com/vinta/awesome-python.git,"An opinionated list of awesome Python frameworks, libraries, software and resources."
TheAlgorithms/Python,204427,https://github.com/TheAlgorithms/Python.git,All Algorithms implemented in Python
Significant-Gravitas/AutoGPT,178092,https://github.com/Significant-Gravitas/AutoGPT.git,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
AUTOMATIC1111/stable-diffusion-webui,155958,https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,Stable Diffusion web UI
huggingface/transformers,148868,https://github.com/huggingface/transformers.git,"?? Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
ytdl-org/youtube-dl,137062,https://github.com/ytdl-org/youtube-dl.git,Command-line program to download videos from YouTube.com and other video sites
521xueweihan/HelloGitHub,126415,https://github.com/521xueweihan/HelloGitHub.git,":octocat: 分享 GitHub 上有趣、入??的?源?目。Share interesting, entry-level open source projects on GitHub."
yt-dlp/yt-dlp,124303,https://github.com/yt-dlp/yt-dlp.git,A feature-rich command-line audio/video downloader
langflow-ai/langflow,106748,https://github.com/langflow-ai/langflow.git,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
deepseek-ai/DeepSeek-V3,99005,https://github.com/deepseek-ai/DeepSeek-V3.git,
nvbn/thefuck,93725,https://github.com/nvbn/thefuck.git,Magnificent app which corrects your previous console command.
pytorch/pytorch,92704,https://github.com/pytorch/pytorch.git,Tensors and Dynamic neural networks in Python with strong GPU acceleration
fastapi/fastapi,88828,https://github.com/fastapi/fastapi.git,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
openai/whisper,87280,https://github.com/openai/whisper.git,Robust Speech Recognition via Large-Scale Weak Supervision
comfyanonymous/ComfyUI,86705,https://github.com/comfyanonymous/ComfyUI.git,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
django/django,84790,https://github.com/django/django.git,The Web framework for perfectionists with deadlines.
home-assistant/core,80939,https://github.com/home-assistant/core.git,:house_with_garden: Open source home automation that puts local control and privacy first.
3b1b/manim,80192,https://github.com/3b1b/manim.git,Animation engine for explanatory math videos
bregman-arie/devops-exercises,78060,https://github.com/bregman-arie/devops-exercises.git,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
tensorflow/models,77623,https://github.com/tensorflow/models.git,Models and examples built with TensorFlow
